id,author,title,gender,isbn,release_date,origin,description
119,Barbara Gowdy,Little Sister,F,9781554688623,2017,Canadian,"Rose is a sensible woman, thirty-four years old. Together with her widowed mother, Fiona, she runs a small repertory cinema in a big city. Fiona is in the early stages of dementia and is beginning to make painful references to Rose’s sister, Ava, who died young in an accident. It is high summer, and a band of storms, unusual for their frequency and heavy downpour, is rolling across the city. Something unusual is also happening to Rose. As the storms break overhead, she loses consciousness and has vivid, realistic dreams—not only about being someplace else, but also of living someone else’s life."
120,Kathryn Kuitenbrouwer,All the Broken Things,F,9780345813527,2014,Canadian,"September, 1983. Fourteen-year-old Bo, a boat person from Vietnam, lives in a small house in the Junction neighbourhood of Toronto with his mother, Thao, and his four-year-old sister, who was born severely disfigured from the effects of Agent Orange. Named Orange, she is the family secret; Thao keeps her hidden away, and when Bo's not at school or getting into fights on the street, he cares for her. One day a carnival worker and bear trainer, Gerry, sees Bo in a streetfight, and recruits him for the bear wrestling circuit, eventually giving him his own cub to train. This opens up a new world for Bo--but then Gerry's boss, Max, begins pursuing Thao with an eye on Orange for his travelling freak show. When Bo wakes up one night to find the house empty, he knows he and his cub, Bear, are truly alone. Together they set off on an extraordinary journey through the streets of Toronto and High Park. Awake at night, boy and bear form a unique and powerful bond. When Bo emerges from the park to search for his sister, he discovers a new way of seeing Orange, himself and the world around them."
122,Rabindranath Maharaj,The Amazing Absorbing Boy,M,9780307397287,2011,Canadian,"Seventeen-year-old Samuel, naïve and inexperienced, leaves his home in Trinidad for Canada following the death of his mother. He hasn't seen his father since he was six years old and now, thrust into a new life together, Samuel soon realizes that he is considered a burden. Undaunted, though still wide-eyed, and propelled by a comic book sensibility, Samuel begins to explore the vast foreign landscape that is Toronto. There he encounters molemen, super-villains, chimeras, trolls and a host of sidekicks. With his fourth novel, Rabindranath Maharaj gives us his best work yet, a powerful and funny story of a naive young immigrant who is wise in the culture of comic books, and a portrait of big-city Canada we have never seen before."
123,Shani Mootoo,Cereus Blooms at Night,F,9780802144621,2009,Canadian,"Shani Mootoo's haunting debut took the international literary world by storm. A Book Sense selection and a finalist for the Giller Prize, the Chapters/Books in Canada First Novel Award, and the Ethel Wilson Fiction Prize,Cereus Blooms at Night is an exquisite cross-generational history filled with thrilling passion and alluring mystery.  Set in the fictional Caribbean town of Paradise,Cereus Blooms at Night unveils the mystery surrounding Mala Ramchandin, an aging, notoriously crazy woman suspected of murdering her father. When a judge finds Mala unfit to stand trial, she is delivered, frail and mute, to the Paradise Alms House and into the care of Tyler, a vivacious male nurse, who becomes the unlikely storyteller of Mala's extraordinary life. In luminous, sensual prose, Mootoo explores identity, gender, and violence in a celebration of our capacity to love despite cruelty and despair."
124,Susan Swan,The Wives of Bath,F,9780676974546,2001,Canadian,"Swan’s international bestselling novel The Wives of Bath, is both a shocking Gothic tale about a murder in a girls’ boarding school and an adolescent confession. Mouse and Paulie, reluctant fourteen-year-old boarders at Bath Ladies College, are confronted by the slippery quest for one small, vital thing: the thing that definitively makes boys different from girls. The novel was made into the feature film Lost and Delirious, shown in 34 countries. Since the film’s debut, young women all over the world have role-played the parts of Mouse, Tory and Paulie on the Lost and Delirious website."
125,Mordecai Richler,The Apprenticeship of Duddy Kravitz,M,9780771075179,1959,Canadian,"The Apprenticeship of Duddy Kravitz is the novel that established Mordecai Richler as one of the world’s best comic writers. Growing up in the heart of Montreal’s Jewish ghetto, Duddy Kravitz is obsessed with his grandfather’s saying, “A man without land is nothing.” In his relentless pursuit of property and his drive to become a somebody, he will wheel and deal, he will swindle and forge, he will even try making movies. And in spite of the setbacks he suffers, the sacrifices he must make along the way, Duddy never loses faith that his dream is worth the price he must pay. This blistering satire traces the eventful coming-of-age of a cynical dreamer. Amoral, inventive, ruthless, and scheming, Duddy Kravitz is one of the most magnetic anti-heroes in literature, a man who learns the hard way that dreams are never exactly what they seem, even when they do come true."
126,Gail Anderson-Dargatz,The Cure for Death by Lightning,F,9780394281803,1997,Canadian,"The cure for death by lightning was handwritten in thick, messy blue ink in my mother’s scrapbook, under the recipe for my father’s favourite oatcakes: Dunk the dead by lightning in a cold water bath for two hours and if still dead, add vinegar and soak for an hour more. So begins Gail Anderson-Dargatz’s extraordinary first novel, a seductive and thrilling book that captures the heart and imagination, as filled with the magic and mystery of life as it is with its lurking evils and gut-wrenching hardships. The Cure for Death by Lightning sold more than a staggering 100,000 copies in Canada alone and became a bestseller in Great Britain, later to be published in the United States and Europe. It was nominated for the Giller Prize, the richest fiction prize in Canada, and received a Betty Trask Award in the U.K."
129,Sheila Watson,The Double Hook,F,9780735253322,1959,Canadian,"The Double Hook is a novel written by Sheila Watson, which is considered ""a seminal work in the development of contemporary Canadian literature."" Published in 1959, The Double Hook is written in a style more like prose poetry than fiction. It is often considered to be Canada's first modernist novel due to how it ""departs from traditional plot, character development, form and style to tell a poetic tale of human suffering and redemption that is at once fabular, allegorical and symbolic."" The Canadian Encyclopedia declares that: ""Publication of Watson's novel The Double Hook (1959) marks the start of contemporary writing in Canada."" Watson said that her novel is ""about how people are driven, how if they have no art, how if they have no tradition, how if they have no ritual, they are driven in one of two ways, either towards violence or towards insensibility – if they have no mediating rituals which manifest themselves in what I suppose we call art forms."" She has explained that the ""double hook"" of her title refers to the idea ""that when you fish for the glory you catch the darkness too. That if you hook twice the glory you hook twice the fear."""
131,Guy Vanderhaeghe,The Englishman's Boy,M,9780771087936,2012,Canadian,"The Englishman's Boy brilliantly connects Hollywood in the 1920s with one of the bloodiest, most brutal events of the nineteenth-century Canadian West -- the Cypress Hills Massacre. Vanderhaeghe's rendering of the stark, dramatic beauty of the western landscape and of Hollywood in its most extravagant era -- with its visionaries, celebrities, and dreamers -- provides vivid background for scenes of action, adventure, and intrigue. Richly textured, evocative of time and place, this is an unforgettable novel about power, greed, and the pull of dreams that has at its centre the haunting story of a young drifter -- ""the Englishman's boy."""
132,Douglas Coupland,The Gum Thief,M,9780307356277,2008,Canadian,"The first and only story of love and looming apocalypse set in the aisles of an office supply superstore. In Douglas Coupland’s ingenious new novel–sort of a Clerks-meets-Who’s Afraid of Virginia Woolf–we meet Roger, a divorced, middle-aged “aisles associate” at a Staples outlet, condemned to restocking reams of twenty-lb. bond paper for the rest of his life. And then there’s Roger’s co-worker Bethany, who’s at the end of her Goth phase, and young enough to be looking at fifty more years of sorting the red pens from the blue in Aisle Six."
137,Wayson Choy,All That Matters,M,9780385257770,2005,Canadian,"The novel opens in 1951 with Abraham Okimasis's victory in ""The World Championship Dog Derby,"" a major dog-sled race. Part of his prize is a kiss from the winner of a local beauty pageant, a young white woman with the title of Fur Queen. This touch of white culture indelibly marks the lives of Abraham's sons, Jeremiah and Gabriel, who grow into acclaimed artists attempting to work within white, European traditions while retaining the influence of Native culture. The novel follows the boys from the idyllic innocence of their Cree childhood through a forced relocation to an abusive residential school to their lives as young artists attempting to discover how far their natural talents can take them. Highway frankly depicts the abuse of Native students at the hands of the Catholic priests who run the residential schools, but falls short of overt condemnation. This startling material is tempered, in a remarkably skilful manipulation of prose, by an almost complete lack of editorial intrusion by the sympathetic narrator."
140,Timothy Findley,The Wars,M,9780735234628,1977,Canadian,"The Wars (1977) vividly evokes the sheer carnage and waste of the Great War, with its ritual sacrifice of youth, beauty, and goodness; the novel also juxtaposes military and domestic wars in its examination of gender conflict and the sexual battles which rage in the Ross and d'Orsey households."
141,Shauna Singh Baldwin,What the Body Remembers,F,9781862300774,2000,Canadian,"The year is 1937, and Roop, a sixteen-year-old Sikh girl from a small village in Northwestern India, has just been married to Sardarji, a wealthy man in his forties. She is a second wife, married without a dowry in the hope that she will bear children, because Sardarji’s first wife, Satya, a proud, beautiful, combative woman whom he deeply loves, is childless. The wedding has been conducted in haste, and kept secret from Satya until after the fact. Angered and insulted, she does little to disguise her hatred of Roop, and secretly plans to be rid of her after she has served her purpose and given Sardarji a son. Besides being a landowner, Sardarji is an Oxford-educated engineer, who hopes that he can help India modernize. As a rising man in the Indian Irrigation Department, he works with British engineers, designing canals to help Indian farmers grow food for the country, and hydro dams to bring even greater prosperity by producing electric power. The British have promised India independence some day, but the timing and conditions of their departure have not yet been settled. Sardarji is instinctively conservative and believes that it is better to work with the British rulers than to agitate against them. But many others are working to drive the British out. Unfortunately, the leaders of the independence movement, in arousing nationalistic emotions, are also deepening the the religious divisions between the Hindu and Muslim populations — if India is free, which religion will be the dominant force? The Sikh community, to which Roop, Sardarji and Satya belong, is linked with the Hindus by their common history and some shared traditions, but the Sikhs also have historical grievances against the other religious communities. Intolerance and hatred are growing and the stage is set for bloody conflict."
142,Steven Galloway,The Cellist of Sarajevo,M,9780307397041,2009,Canadian,"This brilliant novel with universal resonance tells the story of three people trying to survive in a city rife with the extreme fear of desperate times, and of the sorrowing cellist who plays undaunted in their midst. One day a shell lands in a bread line and kills twenty-two people as the cellist watches from a window in his flat. He vows to sit in the hollow where the mortar fell and play Albinoni’s Adagio once a day for each of the twenty-two victims. The Adagio had been re-created from a fragment after the only extant score was firebombed in the Dresden Music Library, but the fact that it had been rebuilt by a different composer into something new and worthwhile gives the cellist hope. Meanwhile, Kenan steels himself for his weekly walk through the dangerous streets to collect water for his family on the other side of town, and Dragan, a man Kenan doesn’t know, tries to make his way towards the source of the free meal he knows is waiting. Both men are almost paralyzed with fear, uncertain when the next shot will land on the bridges or streets they must cross, unwilling to talk to their old friends of what life was once like before divisions were unleashed on their city. Then there is “Arrow,” the pseudonymous name of a gifted female sniper, who is asked to protect the cellist from a hidden shooter who is out to kill him as he plays his memorial to the victims. In this beautiful and unforgettable novel, Steven Galloway has taken an extraordinary, imaginative leap to create a story that speaks powerfully to the dignity and generosity of the human spirit under extraordinary duress."
144,Barbara Gowdy,Mister Sandman,F,9781895897760,1995,Canadian,"This riotous account of ""the family unit"" was a smash hit in Europe, Canada, and England. In the Times Literary Supplement, author Margaret Atwood (The Handmaid's Tale) praised Barbara Gowdy's novel as surprising and delightful, containing moments ""at the same time preposterous and strangely moving."" The Canary family guards many secrets, including the mystery of tiny daughter, Joan, who was dropped on her head at birth and has never spoken. Joan plays the piano like Mozart, yet has never had a lesson. The outrageous hilarity rises into a climax that creates a stunning new definition of family togetherness."
145,Christine Fisher-Guy,The Umbrella Mender,F,9781894987905,2014,Canadian,"Though a stroke has left her mute, the story Hazel has to share is unforgettable. As a talented nurse in the early 1950s, she went to Moose Factory to help fight the epidemic of tuberculosis that was ravaging the indigenous peoples of the north. Each week the boat brought new patients from the Nunavik region to the little hospital. It was a desperate undertaking, fraught with cultural and language difficulties that hampered the urgent, sometimes reckless, efforts of the medical staff. Hazel is soon distracted from the tensions of the hospital by an enigmatic drifter named Gideon Judge, an itinerant umbrella mender, who is searching for the Northwest Passage."
198,Emma Donoghue ,Room,F,9780316196949,2011,Canadian,"To five-year-old Jack, Room is the entire world. It is where he was born and grew up; it's where he lives with his Ma as they learn and read and eat and sleep and play. At night, his Ma shuts him safely in the wardrobe, where he is meant to be asleep when Old Nick visits. Room is home to Jack, but to Ma, it is the prison where Old Nick has held her captive for seven years. Through determination, ingenuity, and fierce motherly love, Ma has created a life for Jack. But she knows it's not enough...not for her or for him. She devises a bold escape plan, one that relies on her young son's bravery and a lot of luck. What she does not realize is just how unprepared she is for the plan to actually work. Told entirely in the language of the energetic, pragmatic five-year-old Jack, Room is a celebration of resilience and the limitless bond between parent and child, a brilliantly executed novel about what it means to journey from one world to another."
199,Barbara Gowdy,The White Bone,F,9780006474890,2007,Canadian,"Traumatized in the wake of an attack by ivory poachers, a herd of elephants sets out for A Safe Place, guided by Mud, a young elephant cow blessed with visionary powers. The White Bone is a classic quest story made dazzling and audaciously original, as the elephants struggle for their own lives and the continuation of their kind."
200,Guy Gavriel Kay,Tigana,M,9780143194071,2016,Canadian,"Two rival conquerors have divided the Peninsula of the Palm. As the provinces in the peninsula were falling one by one, the sorcerer Brandin made a fateful decision, sending his beloved son to capture the last one. But when that son is killed on the battlefield, Brandin, blinded by grief, avenges his death by ruthlessly vanquishing the resistance and then cursing the people of this province with a dark sorcery--so that the very name of their home cannot be spoken or remembered. Years after that devastation, a handful of men and women set in motion a dangerous plot. Their aim: to overthrow both conquerors, and bring back to the world the lost brightness of an obliterated name--Tigana."
201,Ethel Wilson,Swamp Angel,F,9780771094781,2008,Canadian,"Walking out on a demoralizing second marriage, Maggie Lloyd leaves Vancouver to work at a fishing lodge in the interior of British Columbia. But the serenity of Maggie’s new surroundings is soon disturbed by the irrational jealousy of the lodge-keeper’s wife. Restoring her own broken spirit, Maggie must also become a healer to others. In this, she is supported by her eccentric friend, Nell Severance, whose pearl-handled revolver – the Swamp Angel – becomes Maggie’s ambiguous talisman and the novel’s symbolic core."
268,Zoe Whittall,The Best Kind of People,F,9781770899421,2016,Canadian,"What if someone you trusted was accused of the unthinkable? George Woodbury, an affable teacher and beloved husband and father, is arrested for sexual impropriety at a prestigious prep school. His wife, Joan, vaults between denial and rage as the community she loved turns on her. Their daughter, Sadie, a popular over-achieving high school senior, becomes a social pariah. Their son, Andrew, assists in his father’s defense, while wrestling with his own unhappy memories of his teen years. A local author tries to exploit their story, while an unlikely men’s rights activist attempts to get Sadie onside their cause. With George locked up, how do the members of his family pick up the pieces and keep living their lives? How do they defend someone they love while wrestling with the possibility of his guilt? With exquisite emotional precision, award-winning author Zoe Whittall explores issues of loyalty, truth, and the meaning of happiness through the lens of an all-American family on the brink of collapse."
269,Dionne Brand,What We All Long For,F,9780676976939,2005,Canadian,"What We All Long For follows the overlapping stories of a close circle of second-generation twenty-somethings living in downtown Toronto. There’s Tuyen, a lesbian avant-garde artist and the daughter of Vietnamese parents who’ve never recovered from losing one of their children in the crush to board a boat out of Vietnam in the 1970s. Tuyen defines herself in opposition to just about everything her family believes in and strives for. She’s in love with her best friend Carla, a biracial bicycle courier, who’s still reeling from the loss of her mother to suicide eighteen years earlier and who must now deal with her brother Jamal’s latest acts of delinquency. Oku is a jazz-loving poet who, unbeknownst to his Jamaican-born parents, has dropped out of university. He is in constant conflict with his narrow-minded and verbally abusive father and tormented by his unrequited love for Jackie, a gorgeous black woman who runs a hip clothing shop on Queen Street West and dates only white men. Like each of her friends, Jackie feels alienated from her parents, former hipsters from Nova Scotia who never made it out of subsidized housing after their lives became entangled with desire and disappointment."
270,Farzana Doctor,All Inclusive,F,9781459731813,2015,Canadian,"What’s it like when everyone’s dream vacation is your job? Ameera works at a Mexican all-inclusive resort, where every day is paradise — if “paradise” means endless paperwork, quotas to meet, and entitled tourists. But it’s not all bad: Ameera’s pastime of choice is the swingers scene, and the resort is the perfect place to hook up with like-minded couples without all the hassle of having to see them again. Despite Ameera’s best efforts to keep her sideline a secret, someone is spreading scandalous rumours about her around the resort, and her job might be at stake. Meanwhile, she’s being plagued by her other secret, the big unknown of her existence: the identity of her father and why he disappeared. Unbeknownst to Ameera, her father, Azeez, is looking for her, and they both must come to terms with the reason why he abandoned her"
271,Miriam Toews,All My Puny Sorrows,F,9780345808004,2014,Canadian,"You won’t forget Elf and Yoli, two smart and loving sisters. Elfrieda, a world-renowned pianist, glamorous, wealthy, happily married: she wants to die. Yolandi, divorced, broke, sleeping with the wrong men as she tries to find true love: she desperately wants to keep her older sister alive. Yoli is a beguiling mess, wickedly funny even as she stumbles through life struggling to keep her teenage kids and mother happy, her exes from hating her, her sister from killing herself and her own heart from breaking. But Elf’s latest suicide attempt is a shock: she is three weeks away from the opening of her highly anticipated international tour. Her long-time agent has been calling and neither Yoli nor Elf’s loving husband knows what to tell him. Can she be nursed back to “health” in time? Does it matter? As the situation becomes ever more complicated, Yoli faces the most terrifying decision of her life. All My Puny Sorrows, at once tender and unquiet, offers a profound reflection on the limits of love, and the sometimes unimaginable challenges we experience when childhood becomes a new country of adult commitments and responsibilities. In her beautifully rendered new novel, Miriam Toews gives us a startling demonstration of how to carry on with hope and love and the business of living even when grief loads the heart."
2,James Baldwin,Go Tell It on The Mountain,M,9780375701870,1953,International,"“&lt;i&gt;Mountain&lt;/i&gt;,” Baldwin said, “is the book I had to write if I was ever going to write anything else.” &lt;i&gt;Go Tell It on the Mountain&lt;/i&gt;, originally published in 1953, is Baldwin’s first major work, a novel that has established itself as an American classic. With lyrical precision, psychological directness, resonating symbolic power, and a rage that is at once unrelenting and compassionate, Baldwin chronicles a fourteen-year-old boy’s discovery one Saturday in March of 1935 of the terms of his identity as the stepson of the minister of a Pentecostal storefront church in Harlem. Baldwin’s rendering of his protagonist’s spiritual, sexual, and moral struggle toward self-invention opened new possibilities in the American language and in the way Americans understand themselves."
22,Richard Wright,Native Son,M,9780060929800,1940,International,"“If one had to identify the single most influential shaping force in modern Black literary history, one would probably have to point to Wright and the publication of Native Son.” – Henry Louis Gates Jr. Right from the start, Bigger Thomas had been headed for jail. It could have been for assault or petty larceny; by chance, it was for murder and rape. Native Son tells the story of this young black man caught in a downward spiral after he kills a young white woman in a brief moment of panic. Set in Chicago in the 1930s, Richard Wright's powerful novel is an unsparing reflection on the poverty and feelings of hopelessness experienced by people in inner cities across the country and of what it means to be black in America."
50,F. Scott Fitzgerald,Tender Is the Night,M,9780241341483,1932,International,"&lt;b&gt;'I don't ask you to love me always like this, but I ask you to remember. Somewhere inside me there'll always be the person I am to-night.'&lt;/b&gt;&lt;p&gt;Between the First World War and the Wall Street Crash the French Riviera was the stylish place for wealthy Americans to visit. Among the most fashionable are psychoanalyst Dick Diver and his wife Nicole, who hold court at their villa. Into their circle comes Rosemary Hoyt, a film star, who is instantly attracted to them, but understands little of the dark secrets and hidden corruption that hold them together. As Dick draws closer to Rosemary, he fractures the delicate structure of his marriage and sets both Nicole and himself on to a dangerous path where only the strongest can survive. In this exquisite, lyrical novel, Fitzgerald has poured much of the essence of his own life; he has also depicted the age of materialism, shattered idealism and broken dreams.&lt;/p&gt;&lt;p&gt;&lt;b&gt;The Penguin English Library - collectable general readers' editions of the best fiction in English, from the eighteenth century to the end of the Second World War.&lt;/b&gt;&lt;/p&gt;"
51,James Dickey,Deliverance,M,9780385313872,1970,International,"&lt;b&gt;“You're hooked, you feel every cut, grope up every cliff, swallow water with every spill of the canoe, sweat with every draw of the bowstring. Wholly absorbing [and] dramatic.”—&lt;i&gt;Harper's Magazine&lt;/i&gt;&lt;/b&gt;&lt;br&gt;&lt;br&gt; The setting is the Georgia wilderness, where the states most remote white-water river awaits. In the thundering froth of that river, in its echoing stone canyons, four men on a canoe trip discover a freedom and exhilaration beyond compare. And then, in a moment of horror, the adventure turns into a struggle for survival as one man becomes a human hunter who is offered his own harrowing deliverance.&lt;br&gt;&lt;br&gt;&lt;b&gt;Praise for &lt;i&gt;Deliverance&lt;/i&gt;&lt;/b&gt;&lt;br&gt;&lt;br&gt;“Once read, never forgotten.”&lt;b&gt;—Newport News Daily Press&lt;br&gt;&lt;/b&gt;&lt;br&gt;“A tour de force . . . How a man acts when shot by an arrow, what it feels like to scale a cliff or to capsize, the ironic psychology of fear: these things are conveyed with remarkable descriptive writing.”&lt;b&gt;—&lt;i&gt;The New Republic&lt;br&gt;&lt;/i&gt;&lt;/b&gt;&lt;br&gt;“Freshly and intensely alive . . . with questions that haunt modern urban man.”&lt;b&gt;—&lt;i&gt;Southern Review&lt;br&gt;&lt;/i&gt;&lt;/b&gt;&lt;br&gt;“A fine and honest book that hits the reader's mind with the sting of a baseball just caught in the hand.”&lt;b&gt;—&lt;i&gt;The Nation&lt;br&gt;&lt;/i&gt;&lt;/b&gt;&lt;br&gt;“[James Dickey's] language has descriptive power not often matched in contemporary American writing.”&lt;b&gt;—&lt;i&gt;Time&lt;br&gt;&lt;/i&gt;&lt;/b&gt;&lt;br&gt;“A harrowing trip few readers will forget.”&lt;b&gt;—&lt;/b&gt;&lt;i&gt;Asheville Citizen-Times&lt;/i&gt;&lt;br&gt;&lt;br&gt;""A novel that will curl your toes . . . Dickey's canoe rides to the limits of dramatic tension.""&lt;b&gt;—&lt;i&gt;New York Times Book Review&lt;/i&gt; &lt;/b&gt;&lt;br&gt;&lt;br&gt;""A brilliant and breathtaking adventure.""&lt;b&gt;—&lt;i&gt;The New Yorker&lt;/i&gt;&lt;/b&gt;"
52,Joseph Conrad,Heart of Darkness,M,9780375753770,1902,International,"&lt;b&gt;&lt;b&gt;Selected by the Modern Library as one of the 100 best novels of all time • Nominated as one of America’s best-loved novels by PBS’s &lt;i&gt;The Great American Read&lt;/i&gt;&lt;/b&gt;&lt;br&gt;&lt;br&gt;Introduction by Caryl Phillips&lt;br&gt;Commentary by H. L. Mencken, E. M. Forster, Virginia Woolf, Ernest Hemingway, Bertrand Russell, Lionel Trilling, Chinua Achebe, and Philip Gourevitch&lt;/b&gt;&lt;br&gt;&lt;br&gt;Originally published in 1902,&lt;i&gt; Heart of Darkness&lt;/i&gt; remains one of this century’s most enduring works of fiction. Written several years after Joseph Conrad’s grueling sojourn in the Belgian Congo, the novel is a complex meditation on colonialism, evil, and the thin line between civilization and barbarity. This edition contains selections from Conrad’s &lt;i&gt;Congo Diary&lt;/i&gt; of 1890—the first notes, in effect, for the novel, which was composed at the end of that decade. Virginia Woolf wrote of Conrad: “His books are full of moments of vision. They light up a whole character in a flash. . . . He could not write badly, one feels, to save his life.”"
53,F. Scott Fitzgerald,The Great Gatsby,M,9780743273565,1925,International,"&lt;b&gt;A true classic of twentieth-century literature, this edition has been updated by Fitzgerald scholar James L.W. West III to include the author’s final revisions and features a note on the composition and text, a personal foreword by Fitzgerald’s granddaughter, Eleanor Lanahan—and a new introduction by two-time National Book Award winner Jesmyn Ward.&lt;/b&gt;&lt;BR&gt; &lt;BR&gt;&lt;b&gt;Nominated as one of America’s best-loved novels by PBS’s &lt;i&gt;The Great American Read.&lt;/i&gt;&lt;/b&gt;&lt;BR&gt;&lt;BR&gt;&lt;i&gt;The Great Gatsby&lt;/i&gt;, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when &lt;i&gt;The New York Times&lt;/i&gt; noted “gin was the national drink and sex the national obsession,” it is an exquisitely crafted tale of America in the 1920s."
54,Edith Wharton,The Age of Innocence,F,9781690145981,1920,International,"&lt;b&gt;Edith Wharton was the first woman to win the Pulitzer Prize for Literature with this witty satire of New York's upper classes. This edition is introduced by award-winning novelist Rachel Cusk.&lt;/b&gt; As the scion of one of New York's leading families, Newland Archer has been born into a life of sumptuous privilege and strict duty. A sensitive, intelligent young man, he still respects the rigid social code by which his class lives. As he contemplates his forthcoming marriage to the striking and equally well-born May Welland, he gives thanks that she is 'one of his own kind.' But the arrival of the Countess Olenska, a free spirit who breathes clouds of European sophistication, makes him question the path on which his upbringing has set him. As his fascination with her grows, he discovers just how hard it is to escape the bonds of the society that has shaped him. Edith Wharton's Pulitzer Prize-winning novel, &lt;I&gt;The Age of Innocence,&lt;/I&gt; is both a poignant story of frustrated love and an extraordinarily vivid, delightfully satirical record of a vanished world. Designed to appeal to the book lover, the Macmillan Collector's Library is a series of beautiful gift editions of much-loved classic titles."
55,Iris Murdoch,Under the Net,F,9780140014457,1954,International,"&lt;b&gt;Iris Murdoch's debut—a comic novel about work and love, wealth and fame&lt;/b&gt;&lt;br&gt;&lt;br&gt;Jake Donaghue, garrulous artist, meets Hugo Bellfounder, silent philosopher.&lt;br&gt;&lt;br&gt;Jake, hack writer and sponger, now penniless flat-hunter, seeks out an old girlfriend, Anna Quentin, and her glamorous actress sister, Sadie. He resumes acquaintance with the formidable Hugo, whose ‘philosophy’ he once presumptuously dared to interpret. These meetings involve Jake and his eccentric servant-companion, Finn, in a series of adventures that include the kidnapping of a film-star dog and a political riot on a film set of ancient Rome. Jake, fascinated, longs to learn Hugo’s secret. Perhaps Hugo’s secret is Hugo himself? Admonished, enlightened, Jake hopes at last to become a real writer."
56,Jean Rhys,Wide Sargasso Sea,F,9780141185422,1966,International,"&lt;b&gt;One of the BBC's '100 Novels That Shaped Our World'&lt;/b&gt;&lt;p&gt;&lt;b&gt;'Rhys took one of the works of genius of the 19th Century and turned it inside-out to create one of the works of genius of the 20th Century' Michele Roberts&lt;/b&gt;&lt;br&gt;&lt;br&gt;Jean Rhys's masterpiece tells the story of &lt;i&gt;Jane Eyre's&lt;/i&gt; 'madwoman in the attic', Bertha Rochester.&lt;/p&gt;&lt;p&gt;Born into the oppressive, colonialist society of 1930s Jamaica, white Creole heiress Antoinette Cosway meets a young Englishman who is drawn to her innocent beauty and sensuality. After their marriage, however, disturbing rumours begin to circulate which poison her husband against her. Caught between his demands and her own precarious sense of belonging, Antoinette is inexorably driven towards madness, and her husband into the arms of another novel's heroine. This classic study of betrayal, a seminal work of postcolonial literature, is Jean Rhys's brief, beautiful masterpiece.&lt;/p&gt;&lt;p&gt; Edited with an introduction and notes by Angela Smith&lt;/p&gt;"
57,George Orwell,1984,M,9780141036144,1949,International,"&lt;b&gt;Renowned urban artist Shepard Fairey's new look for Orwell's dystopian masterpiece&lt;/b&gt;&lt;br&gt;&lt;br&gt;Winston Smith works for the Ministry of Truth in London, chief city of Airstrip One. Big Brother stares out from every poster, the Thought Police uncover every act of betrayal. When Winston finds love with Julia, he discovers that life does not have to be dull and deadening, and awakens to new possibilities. Despite the police helicopters that hover and circle overhead, Winston and Julia begin to question the Party; they are drawn towards conspiracy. Yet Big Brother will not tolerate dissent - even in the mind. For those with original thoughts they invented Room 101. . .&lt;p&gt;&lt;i&gt;1984 &lt;/i&gt;is George Orwell's terrifying vision of a totalitarian future in which everything and everyone is slave to a tyrannical regime.&lt;/p&gt;&lt;p&gt;&lt;b&gt;'Right up there among my favourite books ... I read it again and again' Margaret Atwood&lt;/b&gt;&lt;/p&gt;&lt;p&gt;&lt;b&gt;'More relevant to today than almost any other book that you can think of' Jo Brand&lt;/b&gt;&lt;/p&gt;"
58,George Orwell,Animal Farm,M,9780141036137,1945,International,"&lt;b&gt;Renowned urban artist Shepard Fairey's new look for Orwell's timeless satire&lt;/b&gt;&lt;p&gt;&lt;b&gt;'All animals are equal. But some animals are more equal than others.'&lt;/b&gt;&lt;/p&gt;&lt;p&gt;Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges. . . &lt;/p&gt;&lt;p&gt;&lt;i&gt;Animal Farm&lt;/i&gt; - the history of a revolution that went wrong - is George Orwell's brilliant satire on the corrupting influence of power.&lt;/p&gt;"
59,Jack Kerouac,On the Road,M,9780140042597,1957,International,"&lt;b&gt;The classic novel of freedom and the search for authenticity that defined a generation&lt;br&gt;&lt;/b&gt;&lt;br&gt;&lt;b&gt;September 5th, 2017 marks the 60th anniversary of the publication of &lt;i&gt;On the Road&lt;/i&gt;&lt;/b&gt;&lt;br&gt;&lt;br&gt;Inspired by Jack Kerouac's adventures with Neal Cassady, &lt;i&gt;On the Road&lt;/i&gt; tells the story of two friends whose cross-country road trips are a quest for meaning and true experience. Written with a mixture of sad-eyed naiveté and wild ambition and imbued with Kerouac's love of America, his compassion for humanity, and his sense of language as jazz, &lt;i&gt;On the Road&lt;/i&gt; is the quintessential American vision of freedom and hope, a book that changed American literature and changed anyone who has ever picked it up.  "
