title,authors,overview
Office 2010 In Easy Steps,['Michael Price'],"<p>In easy-to-understand, jargon-free language, <b>Office 2010 in Easy Steps</b> makes the task of learning this new version of Office easy and painless. Covering all the key features, this guide makes it simple to get up and running in no time. Here readers will learn the basics, as well as to master the updated customizable Ribbon, grasp the new Backstage full-screen options, learn how to use the new image and illustration tools, understand new Office web applications, and more. <b>Office 2010 in Easy Steps</b> combs through the new features and covers in detail all the ones that readers will use time and time again. Each bite-size chapter is illustrated with full-color screenshots.</p>"
Iraq: The Borrowed Kettle,"['Žižek, Slavoj']","<p>In order to render the strange logic of dreams, Freud quoted the old joke about the borrowed kettle: (1) I never borrowed a kettle from you, (2) I returned it to you unbroken, (3) the kettle was already broken when I got it from you. Such an enumeration of inconsistent arguments, of course, confirms exactly what it attempts to deny—that I returned a broken kettle to you ...</p>
<p>That same inconsistency, Zizek argues, characterized the justification of the attack on Iraq: A link between Saddam’s regime and al-Qaeda was transformed into the threat posed by the regime to the region, which was then further transformed into the threat posed to everyone (but the US and Britain especially) by weapons of mass destruction. When no significant weapons were found, we were treated to the same bizarre logic: OK, the two labs we found don’t really prove anything, but even if there are no WMD in Iraq, there are other good reasons to topple a tyrant like Saddam . . .</p>
<p>Iraq: The Borrowed Kettle analyzes the background that such inconsistent argumentation conceals and, simultaneously, cannot help but highlight: what were the actual ideological and political stakes of the attack on Iraq? In classic Zizekian style, it spares nothing and nobody, neither pathetically impotent pacifism nor hypocritical sympathy with the suffering of the Iraqi people.</p>
<p><b>Praise for</b> Welcome to the Desert of the Real:</p>
<p>'Zizek is a stimulating writer; with a knack for turning scenes from movies into little parables, and he is adept at spotting other people's nonsense.' <b>New Yorker</b></p>
<p>'Zizek's book is perhaps particularly helpful in understanding the 'we <b>wished for</b> it,' from his reading of the terrifying <b>predictability</b> of the American response.' <b>parallax</b></p>"
Digital SLR Photography,['Nick Vandome'],"<p>In terms of affordability, quality, and functionality, there has never been a better time to buy a digital SLR camera. With the help of this well-illustrated and easy-to-use guide, even those new to digital photography can achieve stunning results. It begins by demystifying digital cameras and explaining basic functions such as exposure, shutter speed, aperture, lighting, and focusing. It then shows how to create a robust workflow for downloading, cataloging, and editing images. In addition, it explains how to maximize the cameraâs capabilities when shooting landscapes, architecture, people, and other common subjects. But the book is much more than simply a guide to the functions and use of digital SLRs. It also reveals how to use these powerful and flexible cameras to improve creative skills, so that readers can see themselves as photographers, rather than as people who just take pictures.</p>"
Animal Rescue (helping Our Planet),['Sally Morgan'],"<p>In this new series you'll find out about how people's activities have damaged the planet we live on and affected the lives of animals and plants. The books will show you what people can do to repair the damage and protect the environment for the future-and how you can help</p>
<p>Brilliant photographs</p>
<p>Friendly, clear text</p>
<p>Panels to help readers find out more</p>
<p>Glossary and index</p>
<p>Ideal for topic work and Geography activities</p>"
"Encyclopedia Of Calligraphy Techniques, The",['Diana Hardy Wilson'],"<p>Indispensable for aspiring calligraphers of any level, this sourcebook features a comprehensive, step-by-step, visual analysis of all major calligraphic techniques, from foundational hand and uncials to gothic, italic, and copperplate. Not a standard calligraphy project manual, the book teaches the techniques for each type of lettering and shows how composition, color, and borders help decorate finished manuscripts. The history of calligraphy and how it is used in everyday life is explained, and a section on how calligraphy can be used with other media as well as an inspirational gallery of completed works is also included.</p>"
75 Wok And Stir-fry Recipes: A Special Collection Of Fabulous Spicy And Aromatic Far Eastern Recipes Shown Step By Step In 300 Color Photographs,['Jenni Fleetwood'],"<p>Inspired by its versatility, and the delicious flavours of China, India and South-East Asia, this irresistible book brings together a mouthwatering collection of 75 classic, famouse and popular dishes that are speedy and easy to make.</p>"
Abbygale Sews: 20 Simple Sewing Projects,"['Emma Curtis', 'Elizabeth Parnell']","<p>Inspired by the picturesque Devon countryside where they live, crafters Emma Curtis and Elizabeth Parnell have created a book packed full of designs for bags, accessories, and delightful items for the home in a style that is fresh, feminine, and unmistakably English. The book carefully describes each project with an emphasis on the function and practically of the projects, which are divided into five sections: gifts, family-life projects, household items, personal items, and garden and entertainment decorations. The sewing designs are characterized by a simple, vintage-floral-patterned style, but most remarkably, it is the unique voice of the two passionate English crafters that presents a distinct focus on family and home, making the projects stand out from others. Perfect for those new to sewing as well as more seasoned stitchers, the techniques are described in a down-to-earth and simplified way with helpful images taking the reader through each step of every project.</p>"
David Lynch,"['Colin Odell', 'Michelle Le Blanc']","<p>Internationally renowned, David Lynch is America's premier purveyor of the surreal; an artist whose work in cinema and television has exposed the world to his highly personalized view of society. Examining&nbsp;Lynch's entire body of work—from the cult surrealism of his debut feature <i>Eraserhead</i> to his latest mystery <i>Inland Empire</i><i>—</i>this book considers the themes, motifs, and stories behind his incredible works.&nbsp;In Lynch's world the mundane and the fantastical collide, often with terrifying consequences. It is a place where the abnormal is normal, the respectable becomes sinister, where innocence is lost, redemption gained at a terrible price, and where there's always&nbsp; music in the air. From the deserts of a distant world to an ordinary backyard, at the breakneck speed of <i>Lost Highway</i> or the sedate determination of <i>The Straight Story</i>, readers will experience amateur sleuths, messiahs, giants and dwarves, chanteuses, psychopaths, cherry pie, and damn fine coffee.</p>"
Half-marathon: You Can Do It,['Jeff Galloway'],"<p>Jeff's trademarked run-walk-run method has helped hundreds of thousands of average people to get off the couch, train for marathons and half-marathons without injury and has helped veterans to improve times. This book offers a step-by-step program that starts with setting up your training each week. Jeff will show you how to select a realistic goal, and which workouts are needed to prepare for various performances. The book is loaded with tips on how to stay motivated, eliminate aches, pains, and injuries, with the minimum training needed to enjoy other aspects of life.</p>"
Cross-country Running & Racing,['Jeff Galloway'],"<p>Learn all you need to know to train for cross-country races. Galloway's successful training program explains how to build endurance, train and race on varied terrain, implement speed training, develop race strategies and maximize performance, all while keeping the risk of injury to a minimum.</p>"
M Is For Mexico (world Alphabets),['Flor De Mar¡a Cordero'],"<p>Like its companion titles — <i>C Is for China, B Is for Brazil, J Is for Jamaica</i> and others — this engaging alphabet book doubles as a fabulous photographic survey of a single country. Here, acclaimed Mexican photographer and journalist Flor de María Cordero captures the people, customs, and culture of her country in simple text and brilliant full-color photos. From food and drink to lively celebrations like quinceañeras and the Day of the Dead, <i>M Is for Mexico</i> is the perfect introduction to this vibrant, beautiful country.</p>"
Angel Hunt,['Mike Ripley'],"<p>London in the late 1980s - the era of Thatcherism and Loadsamoney - is an exciting but sometimes dangerous place to live. Fitzroy Maclean Angel gets by partly through gigging as a jazz trumpet player, partly through taking illegal fares in his de-registered black taxi cab, and partly through ... well, just being in the right place at the right time. And, as he often says himself, it's better to be lucky than good.</p><p>In Angel Hunt, his third ecapade, Angel has an old university friend drop in on him - quite literally, as he plummets to his death through a skylight window! And that's just the start of Angel's troubles, as he gets his arm twisted by the police to help with their enquiries into a group of animal rights activists, who might just have something rather more deadly on their minds than a bit of foxhunt sabotage ...</p><p>Back in print for the first time in a decade are the first three titles in Mike Ripley's acclaimed 'Angel' series of comic crime novels. Each title is handsomely packaged and contains an specially-written introduction by the author.</p>"
Water In Watercolour (art Handbooks),['Joe Francis Dowden'],"<p>Matching quality instruction with convenience, the Art Handbooks series presents the respected lessons by talented art professionals in a small and transportable format. These tutorials teach techniques for a wide spectrum of artistic endeavors, from pencil drawing to oil painting, through step-by-step instructions and ample imagery of what to expect from each stage and completed process. They also provide invaluable information about the materials as well as additional tips for becoming confident with each medium.</p>
<p>&nbsp;</p>
<p>Joe Dowden shows how to capture water in all its moods, from quiet ponds and shallow puddles to babbling brooks and slow-moving rivers. Using over 80 step-by-step photographs and a plethora of inspiring paintings, he instructs on essential techniques, from laying an initial wash to adding the final details. Taking on a variety of water landscapes, such as deep water, lively water, and shallow water, the guide builds confidence in beginning artists and inspires advanced artists to improve their work. All watercolor landscape artists need to know how to paint water, and creating the effect of all kinds of water is possible with this guide and the simple techniques it teaches.</p>"
Basic Drawing Techniques : Art Handbooks,['Richard Box'],"<p>Matching quality instruction with convenience, the Art Handbooks series presents the respected lessons by talented art professionals in a small and transportable format. These tutorials teach techniques for a wide spectrum of artistic endeavors, from pencil drawing to oil painting, through step-by-step instructions and ample imagery of what to expect from each stage and completed process. They also provide invaluable information about the materials as well as additional tips for becoming confident with each medium.</p>
<p>&nbsp;</p>
<p>Exploring multiple types of pencils, pastels, and charcoal in a variety of ways—including composition, line, tone, texture, and color—this guide demonstrates how easily artists can portray different effects, teaching how to look at nature and how to interpret subjects in personal and individual ways. Whatever their skill level, artists will be able to develop their own style with this informative, richly illustrated book.</p>"
Art Handbooks: Perspective,['Ray Campbell-smith'],"<p>Matching quality instruction with convenience, the Art Handbooks series presents the respected lessons by talented art professionals in a small and transportable format. These tutorials teach techniques for a wide spectrum of artistic endeavors, from pencil drawing to oil painting, through step-by-step instructions and ample imagery of what to expect from each stage and completed process. They also provide invaluable information about the materials as well as additional tips for becoming confident with each medium.</p>
<p>&nbsp;</p>
<p>A thorough understanding of perspective will unlock a whole new level of painting and drawing skill, and this guide offers such a transformation from the renowned artist Ray Campbell Smith. Through exercises and demonstrations, the guide begins with basic perspective: the eye level line, vanishing points, basic constructions, and shadows. Lessons build to include ellipses, curves, and curvilinear objects such as boats, and offer advice on how to simplify difficult shapes. There are special sections on reflections and aerial perspective, which details the use of tone and color to create depth. The final section then stretches the rules to show how unconventional perspective can produce dramatic compositions.</p>"
Painting With Pastels (art Handbooks),['Peter Coombs'],"<p>Matching quality instruction with convenience, the Art Handbooks series presents the respected lessons by talented art professionals in a small and transportable format. These tutorials teach techniques for a wide spectrum of artistic endeavors, from pencil drawing to oil painting, through step-by-step instructions and ample imagery of what to expect from each stage and completed process. They also provide invaluable information about the materials as well as additional tips for becoming confident with each medium.</p>
<p>&nbsp;</p>
<p>Peter Coombs’ excellent introduction to pastels is an inspirational and practical guide to producing paintings in this medium. The book contains detailed information on all the materials needed as well as pastel techniques such as making marks, creating tone, and color blending. Skills are then built up through four step-by-step demonstrations, taking the artist through using a limited palette, painting landscapes, painting water, and creating atmosphere. Beginners can use the book as a complete course in painting with pastels, while more experienced artists will be inspired by the beautiful paintings and expert advice.</p>"
Make Her Dreams Come True,['Joey W. Hill'],"<p>Meg's outing at the mall turns into the erotic experience of a lifetime when a sensual stranger convinces her to relinquish control to him. And so begins a game of seduction through the loss of free will...<br>
<br>
A story of sensuality so rich, sexuality so primal, Make Her Dreams Come True tells the tale of a woman who learns to fly by allowing one man to chain her.</p>"
Word 2013 in Easy Steps,['Scott Basham'],"<p>Microsoft Word 2013 represents one of the largest improvements in user experience and interaction during the application's long history. Today's users expect to be able to work easily in different places with different people and devices but without having to worry about the underlying technologies. Accordingly, Word's new version helps us to take full advantage of Microsoft's shared services and the many ways of collaborating and organizing our media without being restricted to one computer in one place.</p><p>The increasingly visual nature of Word means that a clear, concise and colorful visual reference guide is an invaluable tool for both newcomers and those upgrading from older versions. <b>Word 2013 in easy steps</b> meets this challenge head on with its thorough treatment of the full range of features using detailed pictorial examples and easy-to-follow explanations.</p>"
How to Draw Animals: A Step-By-Step Guide for Beginners with 10 Projects ( How To Draw Series),['Susie Hodge'],"<p>Most beginners think drawing animals is too difficult a task, requiring more skills than they can master. That doesnât have to be the case, however, as this series of 10 progressive demonstrations proves. All the basic techniques necessary to capture an animal are here-tone, solidity, shape, character, expression, and movement-along with a discussion of various media. Find out how to get the features and proportions right, convey a petâs personality, depict the texture of fur, and portray motion. The many animals featured in the exercises include dogs, cats, rabbits, pigs, squirrels, and ponies. Complete novices will be amazed at what they can achieve with these handy tricks and tips.</p>"
Mrs. Muffly's Monster,['Sarah Dyer'],"<p>Mrs. Muffly lives by herself in a house on top of a hill. Sheâs always been a bit strange, but lately sheâs been very, very strange. What on earth would Mrs. Muffly need with 27 dozen eggs, 58 pounds of butter, 41 bags of flour, an enormous pile of sugar, and 464 jars of jam? Could it be that Mrs. Muffly is keeping something in the basement . . . something like a HUGE MONSTER? What else could explain Mrs. Mufflyâs epic shopping trips? Dyerâs playful picture book is a treat for eyes and ears, and her recipe for a not-so-monster-sized cake is just as much a treat for little mouths.</p>"
Elegies Of Love,['Ovid'],"<p>Near the end of his life, Auguste Rodin (18401917) began creating astonishingly an improvisatory and free life drawings. First published in a very limited edition in 1939, 31 of these drawings are paired here with selected Love Elegies from Ovid, one of Rodin’s favorite authors. With Christopher Marlowe’s glittering translation highlighting Ovid’s work, Rodin’s stunning art seems alive on the page in this unique volume.</p>"
Embroidered Alphabets: With Ribbon Embroidery,['Di Van Niekerk'],"<p>Offering 26 gorgeous monograms in ribbon embroidery and the instructions for applying them to quilts, toys, journals, cards, and home decor pieces, each step-by-step demonstration in this manual&nbsp;instructs crafters on basic techniques, accompanied by easy-to-follow diagrams and close-up photography that promotes minute details.&nbsp;In this highly versatile guide, each letter is beautifully reproduced in watercolor and&nbsp;clear instructions for transferring the painted designs onto fabric are included. Numerous designs—from embroidered cards, plaques, and boxes to journals and&nbsp;baby clothes—offer crafters an almost limitless scope for creating personalized gifts for baby showers, birthdays, wedding parties, and anniversaries.</p>"
The Beast: Riding The Rails And Dodging Narcos On The Migrant Trail,['Oscar Martinez'],"<p>One day a couple of years ago, 300 migrants were kidnapped between the remote, dusty border towns of Altar, Mexico, and Sasabe, Arizona. Over half of them were never heard from again. Óscar Martínez, a young writer from El Salvador, was in Altar at the time of the abduction, and his story of the migrant disappearances is only one of the harrowing stories he tells after spending two years traveling up and down the migrant trail from Central America to the US border. More than a quarter of a million Central Americans alone make this increasingly dangerous journey each year, and last year 18,000 of them were kidnapped.</p>
<p>Martínez writes in beautiful, lyrical prose about clinging to the tops of freight trains; finding respite, work and hardship in shelters and brothels; and riding shotgun with the border patrol. Here is the first book to illuminate this harsh mass migration in the age of the <i>narcotraficantes</i>.</p>"
The Doolittle Raid 1942: America's First Strike Back At Japan (campaign),['Clayton K. S. Chun'],"<p>Osprey's study of the United States' first offensive response to the Pearl Harbor attacks of World War II (1939-1945). In early 1942, the strategic situation was bleak for the United States. She had been in continual retreat since Pearl Harbor, surrendering major areas such as the Philippines, and was preparing for the worst in Hawaii and on the West Coast. The Japanese, on the other hand, had secured a well-defended perimeter, and were set for further expansion. Something needed to happen quickly and be of considerable impact.&nbsp;The April 1942 Doolittle Raid on Japan was a way to achieve this. This book examines the planning, execution, and aftermath of this innovative, daring and risky attack, which would show that the Japanese navy and air forces were anything but invincible.</p>"
"Genes, Cells and Brains: The Promethean Promises of the New Biology","['Hilary Rose', 'Steven Rose']","<p>Our fates lie in our genes and not in the stars, said James Watson, co-discoverer of the structure of DNA. But Watson could not have predicted the scale of the industry now dedicated to this new frontier. Since the launch of the multibillion-dollar Human Genome Project, the biosciences have promised miracle cures and radical new ways of understanding who we are. But where is the new world we were promised?</p><p>In <b>Genes, Cells and Brains</b>, feminist sociologist Hilary Rose and neuroscientist Steven Rose take on the bioscience industry and its claims. Examining the establishment of biobanks, the rivalries between public and private genesequencers, and the rise of stem cell research, they ask why the promised cornucopia of health benefits has failed to emerge and reveal the questionable enterprise that has grown out of bioethics. The human body is becoming a commodity, and the unfulfilled promises of the science behind this revolution suggest profound failings in genomics itself.</p>"
More Crafty Activities: Over 50 Fun And Easy Things To Make In 7 Steps Or Less,"['Judy Balchin', 'Michelle Powell', 'Clive Stevens', 'David Watson']","<p>Packed with&nbsp;engaging projects for boys and girls, activities such as clay modeling, beadwork, decorative painting, papermaking, and paperfolding come to life in this bright, colorful guidebook. Showcasing step-by-step photographs and easy-to-follow instructions, this exciting exploration provides children with more than 50 fun projects. Blending classic crafting techniques with modern designs, all of the projects in this handbook can be made from common household items and are suitable for any level of crafter, including beginners.</p>"
Palmistry Made Easy,['Johnny Fincham'],"<p>Palmistry has traditionally been blighted by superstition and hocus-pocus. Its been impossible to learn the art from a long list of signs, markings and squiggles to remember. Until now that is. Heres a simple, common-sense guide that works.</p>
<p>You can start palm reading after a few hours of study with this book. Using the modern language of psychology, rational observation and common sense, youll be amazed at how much you can see in your own or anyones palm. Try it - it works!</p>"
"Playing, Laughing And Learning With Children On The Autism Spectrum: A Practical Resource Of Play Ideas For Parents And Carers Second Edition",['Julia Moore'],"<p>Parents of young children newly diagnosed as on the autism spectrum are often at a loss for ideas about how best to help their child. Playing, Laughing and Learning with Children on the Autism Spectrum is not just a collection of play ideas; it shows how to break down activities into manageable stages, and looks at ways to gain a child's attention and motivation and to build on small achievements.</p>
<p>Each chapter covers a collection of ideas around a theme, including music, art, physical activities, playing outdoors, puzzles, turn-taking and using existing toys to create play sequences. There are also chapters on introducing reading and making the most of television. This updated second edition contains an extensive chapter on how to use the computer, the internet and the digital camera to find and make resources and activities, and suggests many suitable websites to help parents through the internet maze. The ideas are useful both for toddlers and primary age children who are still struggling with play.</p>"
A-z Of Silk Ribbon Flowers,['Ann Cox'],"<p>Perfect for beginners, this project guide features step-by-step instructions and stunning close-up photography for more than 30 flowers designs in a wide variety of styles. A comprehensive tutorial on techniques covers all of the basic skills needed to make beautiful ribbon flowers, including how to handle and work with ribbon, transfer a design to fabric using a template,&nbsp;and paint ribbons and backgrounds to achieve different effects. Each design includes a template and diagrams while inspirational ideas for variations on the main design expand the range and style of the projects. Information on ribbon stitches and gathering techniques and types of materials rounds out this useful reference.</p>"
Killer,['Dave Zeltserman'],"<p>Praise for Dave Zeltserman:</p><p>'<i>Pariah</i> will keep you glued to its pages. There are no holds barred anywhere in this wonderful launch into evil. The meek beware . . . be-very-ware.' -Charlie Stella</p><p>'This fusion of hard-boiled and bitter satire is brand new territory for noir and I suspect that [<i>Pariah</i>] will be one of the most talked about novels of 2009.' -Ed Gorman</p><p>'The plot of <i>Small Crimes</i> is a thing of beauty.' -<i>The Washington Post</i></p><p>Leonard March walks free from jail after fourteen years' hard time served after turning stateâs witness against his Mafia boss Salvatore Lombard. Itâs only after Leonard is sentenced that the public learns that he was a Mob hitman with eighteen deaths to answer for.</p><p>Leonard is released to public outrage and media furor. He spends his time working as a janitor while looking over his shoulder, fearful of a vigilante attack or revenge hit from his former colleagues. At sixty-two and with plenty of time on his hands, he is at an age when most men grow reflective and attempt to understand their mark on the world. But for Leonard, while the threats to his safety are not imagined, his self-reflection may pose the greatest threat of all.</p><p><b>Dave Zeltserman</b> lives in the Boston area with his wife. <i>Small Crimes</i> was included in <i>The Washington Post</i>âs Best Books of 2008 and was one of NPRâs top five crime and mystery novels of 2008.</p>"
"Knitted Pirates, Princesses, Witches, Wizards And Fairies: With Outfits & Accessories","['Hefford', 'Annette']","<p>Providing patterns for knitted dolls based on classical styles found in fairy tales, this guidebook's enchanting projects will delight designers and crafters of all abilities.&nbsp;Featuring widely available yarns and basic knitting principles, this gorgeous resource provides&nbsp;descriptive patterns for&nbsp;various dolls—such as Santa Claus, a fiery flamenco dancer, a pirate, a witch, and a wizard—all standing approximately 16 inches tall. Each doll shares a common knitted body shape,&nbsp;and elaborately detailed hair, clothes, and accessories—from layered&nbsp;bodices and tunics to knitted swords and a nose-wart for the witch—transforming each model into a charming character.</p>"
The Art Of Illumination,['Patricia Carter'],"<p>Pulling together only the best projects from this bestselling author’s three previous books on illumination, this compendium instructs designers on a range of exquisite designs in watercolor and gouache to enhance calligraphy, texts, and a host of other decorative items. Employing&nbsp;timeless techniques to more than 60 design ideas, these projects draw their inspiration from classic manuscripts and texts.</p>"
"David Bellamy's Skies, Light & Atmosphere in Watercolour",['David Bellamy'],"<p>Renowned watercolorist David Bellamy shows how to paint essential elements of landscapes-skies, light, and atmosphere-in this painting resource, demonstrating how choices involving these three key elements can affect a painting. Starting with skies, the basic techniques are covered, including composition, clouds, special effects such as silver linings, sunsets, and shafts of light, followed by a dramatic sky demonstration. The next element is light, with plenty of advice about warm and cool light, using glazes, how to cast shadows, rendering light from different directions, and painting the sun and reflected light, followed by a step-by-step demonstration featuring strong light and shadow. The atmosphere section covers the elements of haze and mist, fog, mountains in cloud, smoke and steam, rain, storms, and tranquil moods, and is followed by an atmospheric painting of a waterfall that details each stage of the process. Sure to inspire, plenty of Davidâs own watercolor paintings of skies, light, and atmosphere appear throughout the book.</p>"
Supernatural: Carved in Flesh,['Tim Waggoner'],"<p>Reported sightings of a hellish hound and the discovery of newly dead desiccated corpses bring Sam and Dean Winchester to Brennan, Ohio. But when they catch the monster canine it turns out to be Frankenmutt; a reanimated patchwork of pieces from separate dogs.</p><p>Soon the brothers are on a trail that leads from mad scientists and biotechnology to a centuries-old alchemists, walking corpses, and an ancient and malevolent power.</p>"
Why Buffy Matters: The Art Of Buffy The Vampire Slayer,['Rhonda V. Wilcox'],"<p>Rhonda Wilcox is the world's foremost authority on <i>Buffy the Vampire Slayer,</i> its characters, and its themes. Wilcox argues that <i>Buffy</i> is enduring as art by exploring its excellence in both long-term story arc construction and in producing individual episodes that are powerful on their own. She examines the larger patterns that extend through all seven seasons: the hero myth, imagery of light, naming symbolism, Buffy's relationship with Spike, sex, and redemption. Wilcox also focuses on acclaimed and noteworthy episodes, including the musical ""Once More, with Feeling,"" the largely silent and wordless ""Hush,"" and the dream episode ""Restless."" She examines <i>Buffy's</i> literary narrative, symbolism, visual imagery, and sound. Combining great intelligence and wit, written for fans, this is the worthy companion to the show that has claimed and kept the minds and hearts of watchers worldwide.</p>"
The Rough Guide To Salsa Dance Cd 2 (rough Guide World Music Cds),['Rough Guides'],"<p>Salsa is the musical pulse that flows through Latin America, the Spanish speaking Caribbean, and the Latin Diaspora in the USA and across the world. Short, sharp, sweet and straight to the point, salsa has come to define Latin life — the music, the dancing, the culture. The Rough Guide To Salsa Dance (Second Edition) presents some of the freshest and newest salsa bands and songs from Colombia to New York, Cuba to Puerto Rico — the ideal soundtrack for the summer and guaranteed to move anyone, from the accomplished dancer to the double left-footed.</p>"
Smart Things To Know About Six Sigma,['Andrew Berger'],"<p>Six Sigma is a target for operational performance and the name originates from the statistical term that uses the lower case Greek letter to mean standard deviation. If you improve the sigma (or standard deviation) of any process you are in effect reducing failure or defect rate of that process. But don’t let this description put you off. Six Sigma has long left its precise definition behind. It has now turned into a generic term – one which denotes the disciplined and relentless pursuit of higher levels of quality and lower levels of cost. And with companies such as GE, Honeywell, Texas and Polaroid claiming to have delivered financial benefits of more than $1 billion it’s easy to see why Six Sigma is growing at a phenomenal rate - across all sectors and geographies.</p>
<p>In <i>Smart Things to Know about Six Sigma</i> Andrew Berger shows managers and execs how to bridge the gap between the theory and the practical applications of Six Sigma. Berger offers a unique and integrated approach combining best practice examples with a practical mechanism for implementation.</p>
<p>Smart managers know they can’t ignore the growing trend, and in <i>Smart Things to Know About Six Sigma</i> Andrew Berger reveals the tools for becoming a Six Sigma Black Belt:</p>
<p>What are the problems you could solve with Six Sigma? How do you select the right projects? How do you devise the timescale?</p>
<p>The main process for Six Sigma is DMAIC (Define – Measure &amp; Analyse – Improve – Control), and is the best methodology for ensuring that targets are met.</p>
<p>Time spent in reconnaissance is rarely wasted. Learn what the ‘Define’ and ‘Project Charter’ phase is. How do you get started?</p>
<p>Data collection and analysis is the art and the science of Six Sigma. What are the best practice tools and benchmarks to help project teams in the Measure and Analyse phase?</p>
<p>Next step. It’s time to move to the IMPROVE phase. No problem… this is when the fun begins. But what should the project team really want to achieve during this phase? It’s all about prioritising and testing solutions and building the case for change.</p>
<p>Change is only complete when people in the organization adopt a ‘new way of doing things’ as the accepted way of doing things. But what are the wider implications for taking on the change and how do you sustain the change? Welcome to the CONTROL phase.</p>
<p>How do you successfully manage Six Sigma change to deliver real financial benefits? (Hiieeeeyah. Please come forward and pick up your belt).</p>
<p>Six Sigma can be used to improve any process. From product cycle times to defects reduction, and it can be used in almost any range of business. From high street financial institutions, to hospitals and to cardboard box manufacturers. In the next 3-4 years, you’ll see around 60% of companies implementing some form of Six Sigma. Be Smart. And see what all the fuss is about…</p>
<p>Smart Quotes</p>
<p>Those who have knowledge, don’t predict. Those who predict, don’t have knowledge.</p>
<p>Lao Tzu</p>"
Complete Houseplant Handbook,['Peter Mchoy'],"<p>Step-by-step advice on watering, feeding and choosing the right container, as well as instructions on division, layering, cuttings and propagation techniques.</p>"
Knit The Nativity,['Jan Messent'],"<p>Taking advantage of a variety of sparkling and novelty yarns, this knitting project book delightfully illustrates a crafted construction of the nativity scene. With expert patterns and instructions, the scene is small enough to be manageable yet large enough for many knitters to be involved in completing the job making this a great project for a school, church, knitting group, family, or community. The older, more experienced knitter can rise to the challenge of constructing the Wise Men’s ornate cloaks while young fingers can contribute by making the stable wall by simply wrapping yarn. With full patterns, diagrams, drawings, and photography, Mary, Joseph, the infant Jesus and manger, and various other elements all come to vibrant life for a beautiful nativity scene to be enjoyed for years to come.</p>"
The Secret Language Of Churches & Cathedrals: Decoding The Sacred Symbolism Of Christianity's Holy Buildings,['Richard Stemp'],"<p>Thanks to books and films like <i>The Da Vinci Code</i> and its sequel, <i>Angels and Demons</i>, interest in secret religious symbols has never been greater. This carefully researched guide takes the reader into some of the world's most famous churches, decoding messages that are hidden in plain sight-in stained-glass windows, statuary, patterned flooring, ornamentation, and even the buildings' architectural design: Why do fierce beasts and grotesque faces peer from the walls? Who chose to depict one particular saint and not another? What's the significance of an eagle? A dragon? A pelican? No one who reads this book will ever again experience a visit to a cathedral in quite the same way.</p>"
Sex Pistols: The Graphic Novel,"['Jim Mccarthy', 'Steve Parkhouse']","<p>Thanks to Steve Parkhouse's wonderfully vivid illustrations and Jim McCarthy's clever distillation of the script that rewrote rock 'n roll and much else besides, the Pistols' story returns to the rough and tumble of the comic strip from which it derived to much of its initial inspiration.</p>
<p>England's original punks explode from the pages with the same disrespect for authority that had the British establishment up in arms during the Queen's 25th anniversary jubilee.</p>
<p>And no one would have enjoyed this take on the Pistols more than the tale's real casualty, Sid Vicious, who devoured comics almost as much as he did the destructive stuff.<br>
 &nbsp;</p>"
Studio Ghibli: The Films Of Hayao Miyazaki And Isao Takahata,"['Colin Odell', 'Michelle Le Blanc']","<p>The animations of Japan’s Studio Ghibli are amongst the highest regarded in the movie industry. Their delightful films rank alongside the most popular non-English language films ever made, with each new eagerly-anticipated release a guaranteed box-office smash. Yet this highly profitable studio has remained fiercely independent, producing a stream of imaginative and individual animations. The studio’s founders, long-time animators Isao Takahata and Hayao Miyazaki, have created timeless masterpieces. Although their films are distinctly Japanese their themes are universal—humanity, community, and a love for the environment. No other film studio, animation or otherwise, comes close to matching Ghibli for pure cinematic experience. All their major works are examined here, as well the early output of Hayao Miyazaki and Isao Takahata, exploring the cultural and thematic threads that bind these films together.</p>"
The Trafalgar Companion: The Complete Guide To History's Most Famous Sea Battle And The Life Of Admiral Lord Nelson,['Mark Adkin'],"<p>The Battle of Trafalgar was fought on October 21, 1805, off Cape Trafalgar on the Spanish coast, between the combined fleets of Spain and France and the Royal Navy. The last great sea action of the period, it established British naval supremacy and ended the threat of French invasion. <i>The Trafalgar Companion</i> not only chronicles the campaign and the battle itself in unprecedented detail, but it also charts Admiral Lord Nelson’s life and career as well as his death at the height of the battle. Providing a wealth of background details on contemporary naval life, seamanship, gunnery, tactics, and much else, the narrative is supplemented by informative sidebars, 200 color illustrations, and stage-by-stage battle diagrams.</p>"
The Complete Guide To Asperger's Syndrome,['Tony Attwood'],"<p>The Complete Guide to Asperger's Syndrome is the definitive handbook for anyone affected by Asperger's syndrome (AS). It brings together a wealth of information on all aspects the syndrome for children through to adults.</p>
<p>Drawing on case studies and personal accounts from Attwood's extensive clinical experience, and from his correspondence with individuals with AS, this book is both authoritative and extremely accessible.</p>
<p>Essential reading for families and individuals affected by AS as well as teachers, professional and employers coming in contact with people with AS this book should be on the bookshelf of anyone who needs to know or is interested in this complex condition.<br>
</p>
<p><b>About the Author:</b><br>
Tony Attwood is a practising clinical psychologist with more than 25 years' experience</p>"
