title,authors,overview
Icon: A Retrospective By The Grand Master Of Fantastic Art,Frank Frazetta,"<p>Frank Franzetta's paintings and illustrations have set the standard for fantasy artists for the past 50 years. His art continues to exert a tremendous influence over collectors of classic comic and sci-fi art, who pay record-setting auction prices for his original works. This lushly produced, large-format retrospective follows Frazetta's career from his apprenticeships at various publishers in the 1940s, to his 1950s breakthrough with the <i>Buck Rogers</i> and <i>Lil' Abner</i> series, to his powerfully erotic compositions for the works of Edgar Rice Burroughs and the famous <i>Conan</i> illustrations for Robert E. Howard.</p>
<p>Equally adept with pen and ink, watercolor, pencil, and sculpture, Frazetta has inspired a generation of illustrators, all striving to match the visual vigor of his subjects. <i>Icon</i> follows the creation of dozens of the master's images by reproducing preliminary line drawings and color studies integral to the development of the paintings. Seventy-five finished oil portraits are featured here, along with 34 smaller pieces, all in full color. Beautifully printed on heavy-weight high-gloss paper, this collection allows readers to fully appreciate the rich detail, composition, and brushwork in each work.</p>
<p>Accompanying the illustrations is thorough background text by Hugo Award-winning editor Arnie Fenner, which gives a historical perspective to Frazetta's art, as well as commentary by Frazetta himself on the artistic significance of each of his major paintings. William Stout contributes an insightful article about Frazetta's film work, and artists James Bama and Rick Berry share their appreciation for Frazetta.</p>


                        <p>This is the largest collection of Frank Frazetta's art ever published. Featuring work from five decades, the more than 130 museum-quality reprints includes his best-known paintings in addition to several previously unpublished works.
</p>"
Making Miniatures: Projects For The 1/12 Scale Dolls' House,Christiane Berridge,"<p>From a charming French café to an Arabian tent decorated with exotic rugs and wall hangings, this delightful compilation of 22 unique projects, done in standard 1/12 size, will enchant doll house enthusiasts and other miniaturists. All that’s needed is some basic equipment and the desire to create imaginative miniature worlds. A Swedish Bedroom features red-and-white gingham fabric throughout, while the Floral Morning Room has scented forget-me-not wallpaper and a doll seated at a tiny skirted table set for tea. You can also craft a greenhouse, Japanese garden, general store, or theater box, along with pretty polymer clay people to populate each lovely space you make.</p>"
The Meaning Of Tango: The Story Of The Argentinian Dance,Christine Denniston,"<p>From the backstreets of Buenos Aires to Parisian high society, this is the riveting story of the dance that captivated the world—a tale of politics and passion, immigration, and romance. <i>The Meaning of Tango</i> traces the development of the dance, from its birth in poverty-stricken Buenos Aires, through the craze of the early 20th century, right up to its recent revival today thanks to Broadway shows such as <i>Tango Argentino</i>. It also explains the techniques behind the dance and shows why mastering the tango is more like learning a language than a routine. For beginners or experts, dancers or armchair fans, this wonderful book is the perfect partner for enjoying the world's favorite dance.</p>"
Topiary: Design And Technique,"Christopher Crowder', 'Michaeljon Ashworth","<p>From the gardens of ancient Egypt to the arts and crafts creations of Edwardian England, green sculpture has been clipped into shape. With its bold silhouettes, topiary is an icon that defines the hand of man in creating gardens, expressing the gardener’s ideas and firing the observer’s imagination. In this book, informative photographs offer ideas and starting points for creating your personal topiary work, while guidelines to creating specific shapes and designs are set out in simple diagrams that illustrate the stages of transformation from unruly shrub to stylized art form.</p>"
"Time Out London Walks, Volume 1: 30 Walks By London Writers",Time Out,"<p>Fully revised and updated, <i>Time Out London Walks, Volume I</i> features 30 walks around the British capital by some of London's finest novelists, artists, comedians, and historians. Contributors include best-selling author Margaret Drabble, television personality Graham Norton, biographer Richard Holmes, and others. Kim Newman leads readers on a bloodstained trail through Soho of film murder sites. In ""Of Kites and Keats,"" Kate Kellaway takes a nostalgic stroll through the area of North London the poet knew best. Other entries include Margaret Forster on Hampstead Heath, Joan Smith on Hammersmith and Chiswick, and Philip Zeigler on Holland Park and Kensington Palace. Each walk is accompanied by a detailed map and information about attractions along the way.</p>"
"Time Out London Walks, Volume 2: 25 Walks By London Writers",Time Out,"<p>Fully revised and updated, the second volume in the <i>London Walks</i> series features 25 walks of two to 16 miles from London writers, each revealing a personal insight into their chosen corner of the capital. Featuring writers like Bonnie Greer, Simon Hoggart, Richard Holmes, Liza Picard, and Claire Tomalin, <i>Time Out London Walks, Volume 2</i> can be read with pleasure at home or as a collection of writings about London, or used as a practical guide to the city’s streets and green spaces. The book includes easy-to-use maps; comprehensive listings for pubs, bars, restaurants, and shops along each route; parks and palaces, churches and temples, and other sites of interest.</p>"
The Game Cookbook,"Clarissa Dickson Wright', 'Johnny Scott', 'Gus Filgate","<p>Game is the healthy alternative to other meats being lean, high in protein and low in cholesterol and it is also varied, from quail to goose, rabbit to deer, and from salmon to carp. Thi inspirational book contains both exciting recipes and insightful information on the history and habitat of game, from two passionate and authoritative countryside campaigners.</p>"
Prayer Of The Heart In Christian And Sufi Mysticism,Llewellyn Vaughan-lee,"<p>Guiding the reader through the stages of mystical prayer—a way to create a living relationship with the Divine within the heart—this book draws upon Christian and Sufi sources such as St. Teresa of Avila, ‘Attâr, St. John of the Cross, and Rûmî. Llewellyn Vaughan-Lee describes the stages of prayer: how prayer is first born of need, but then takes one deep within the heart, into the stages of union and ecstasy. Through mystical prayer, one is drawn into the silence of real communion with God. Here, in the silence within the heart, a meeting and merging takes place that carries one beyond the self into the mystery of divine presence. This exploration delves into the secret of how to pray without ceasing, in which prayer becomes alive within the heart, and includes a chapter on the need to pray for the well-being of the Earth. It brings together the Christian and Sufi mystical traditions&nbsp;and will benefit any practitioner of prayer who is drawn to discover a relationship with God within their heart.</p>"
Rules of the Game: The Best Sports Writing from Harper's Magazine,Matthew Stevenson,"<p>Harper's Magazine has been America's preeminent monthly periodical for more than 150 years. Rules of the Game: The Best Sports Writing from Harper's Magazine takes a look into this storied magazine's unparalleled archive and uncovers funny, touching, exciting, intriguing stories of the sporting life, both professional and amateur, and what it means to us. These essays show that how we play and write about sports not only reflect our nation's character, but challenge it. Including stories from Mark Twain and James B. Connolly at the turn of the twentieth century, visiting with George Plimpton, Tom Wolfe, Bill Cardoso, and A. Bartlett Giamatti along the way, and continuing with Lewis Lapham, Rich Cohen, and Pat Jordan today, this collection is the definitive voice on sports-writing through the last hundred years. Edited by Matthew Stevenson and Michael Martin, with a humorous, insightful preface by Roy Blount Jr. (Fifth in the American Retrospective Series.)</p>"
"The Abcs Of Writing For Children: 114 Children's Authors And Illustrators Talk About The Art, The Business, The Craft & The Life Of Writing Children's Literature",Elizabeth Koehler-pentacoff,"<p>Have you ever dreamed of writing a best-selling children's book? Ever fantasize about what it's like to live the life of a published children's author? Although writing and illustrating books for children is not as easy as it looks, new authors and illustrators are being discovered--and published--all the time. Even if you're not planning a career in this field, learning how authors and illustrators work can lend new insights and appreciation to their art. The same ideas and inspirations that help authors and illustrators of children's books may encourage students, teachers, librarians and other creative artists in their literary efforts. In <i>The ABCs of Writing for Children,</i> you'll learn many ‘do's and don'ts' for creating children's books. You'll see that what works for one author may not work for the next. No matter what your aspirations are, whether you want to enrich your reading, teach others to read and write more deeply, or nurture your own creative process, learning what works for others may work for you. Including Chris Crutcher, Karen Cushman, Sid Fleischman, Richard Peck, R. L. Stine, Rosemary Wells, and Jane Yolen.</p>"
"Sonic The Hedgehog Archives, Vol. 13","Gallagher', 'Mike","<p>Here it is, Sonic fans! The critical turning point in the famous blue hedgehog's comic book career! Princess Sally is presumed dead, and Sonic has been framed for the murder! The plot is deepening and darkening at a breakneck pace, and it will take the team-up of three rivals to save the day!</p>"
Themed Lesson Plans For Riding Instructors: A Handbook For Teaching Recreational Riders,Melissa Troup,"<p>Here's a wealth of ideas, exercises and plans for group or individual lessons, for all abilities, all levels and all ages. Each lesson plan follows a natural progression, gradually building up the difficulty of the exercises as the ability of the pupil increases.</p>"
Garageband Tips And Tricks,Keith Gemmell,"<p>If you've purchased an Apple Mac computer in the last few years you're probably already familiar with GarageBand, Apple's incredibly easy-to-use, virtual recording studio. Perhaps you're new to recording and dipping your toe in the water. Maybe you're already using this powerful software to write and record your own songs. If you're running version 3, you may even be producing your own radio and video podcasts, using the new jingle content. Whatever your skill-level, one things for sure: you're bound to find this book an invaluable working companion.</p>
<p>Okay, the online help and PDF manuals do a fine job of describing how things work but they don't tell you that GarageBand's software instruments are the same powerful synthesisers as those found in Logic Pro, only with simplified controls. Once you discover their true potential, there are some powerful editing features just begging to be used. That's the kind of insider knowledge revealed in this book along with tips on buying hardware for your personal studio, Apple loops, audio and MIDI, effects, production, mixing and mastering.</p>
<p>Some dismiss GarageBand as a toy. But that's just plain silly. Yes it does lack the high-end features of some of the more expensive recording software programs. But rest assured, there are plenty of useful work-arounds and tips and tricks to be had. For those in the know, GarageBand provides all the power tools needed to produce stunning, CD-quality audio projects. Read this book and all will be revealed.</p>


                        <p>GarageBand, Apple's incredibly easy-to-use, virtual recording studio, is powerful software that allows users to write and record their own songs. This guide explains all the features, while delving into unknown tricks and tips to enhance performance.
</p>"
Mickey Mouse Adventures Volume 12 (disney's Mickey Mouse Adventures) (no. 12),"Byron Erickson', 'Rune Meikle","<p>In ""The Counterfeit Conundrum,"" Donald conspires with Mickey's friends to give Mickey a mystery to solve for his birthday. But little do they realize their fake clues will soon set Mickey on the trail of a real mystery, one involving the lost masterpiece of a famed movie comedian! Next, Mickey's and Goofy's trip to Transylvania nearly turns tragic when Goofy inherits a famed vampire's estate... and Mickey ends up ""Bitten by Love!"" A classic Donald Duck adventure drawn by the acclaimed Giorgio Cavazzano rounds out the book.</p>"
"Sonic The Hedgehog Archives, Vol. 0: The Beginning",Archie Comics,"<p>In 1993, Sonic the Hedgehog sped his way from video games to comic books. Hundreds of isues later, ""the blue blur"" can lay claim to having the most successful comic book career of all video game heroes! Now you can enjoy his earliest comic book adventures with this special edition that reprint his first, difficult-to-find mini-series, Sonic #0 through #3. Collected together for the first time are the first appearance of Tails, Princess Sally, Antoine, Rotor, Uncle Chuck and Muttski. Put on your sneakers, grab a chilidog and see where the legend began!</p>"
The Book Of Letters: A Mystical Hebrew Alphabet (kushner),Rabbi Lawrence Kushner,"<p>In calligraphy by the author. Folktales about and exploration of the mystical meanings of the Hebrew Alphabet. Open the old prayerbook-like pages of The Book of Letters and you will enter a special world of sacred tradition and religious feeling. More than just symbols, all twenty-two letters of the Hebrew alphabet overþow with meanings and personalities of their own.</p>
<p>Rabbi Kushner draws from ancient Judaic sources, weaving Talmudic commentary, Hasidic folktales, and Kabbalistic mysteries around the letters. Each letter is illuminated and, together with the comments, is presented in the author's original calligraphy, recalling the look and feel of ancient medieval manuscripts.<br>
""A book which is in love with Jewish letters. It gives us a feeling which the Kabbalists always knew-that the letters of the alphabet are not just letters but symbols of our history, of our philosophy, and of the life of the Jewish people. In this respect this book is unique.""<br>
-<i>Isaac Bashevis Singer</i></p>"
"Owly, Vol. 3: Flying Lessons (v. 3)",Andy Runton,"<p>In Flying Lessons, Owly figures out why he can't fly, and helps another forest creature with his own flying problems. Relying on a mixture of symbols, icons, and expressions to tell his silent stories, Runton's clean, animated, and heartwarming style makes it a perfect read for anyone who's a fan of Jeff Smith's Bone or Mike Kunkel's Herobear and the Kid. Already winning fans around the world, Owly is not to be missed.</p>"
Reading The Landscape: An Inspirational And Instructional Guide To Landscape Photography,Peter Watson,"<p>In guiding us through the process of interpreting and capturing landscapes digitally, Peter Watson proves that it is not only what we see but <i>how</i> we see it that makes a difference. He challenges us to transform our very gaze even before we click the shutter, and see the world like a skilled artist “painting with light.” With patience, a meticulous eye, and his own images, he explains how fields, trees, mountains, and rivers can become a complex yet readable pattern of lines, shapes, colors, and textures. It’s a uniquely scientific approach to seizing creative opportunities in your photography.</p>"
The Life Of A Children's Troubadour,Raffi,"<p>In his own words, the story of Raffi—North America's beloved entertainer and songwriter whose music has made him a friend to millions of children and their families. From his birth into an Armenian family of artistic renown, Raffi's captivating tale moves through his early years in Egypt and on to his life as a superstar performer on the premier concert stages of Canada and he United States. Candidly and with sensitivity, Raffi recounts his childhood in Cairo, the family's move to Canada, his adolescence and search for identity, his musical achievements, challenges and setbacks, and the inner journeys of a fascinating life. In over three decades of performing, writing and recording for children, Raffi has shown uncommon integrity and stayed true to his mission: to honour and respect the child as a whole person. Now in this book, with reason, passion and considerable humour, he offers compelling insights into the nature of the child and the universal benefits of nurturing that precious spirit.</p>"
When Lightning Strikes A Hummingbird: The Awakening Of A Healer,"Foster Perry', 'Angela Werneke","<p>In nature, the hummingbird is the messenger of higher vibrations, who lives intensely, seeking life's nectar. In much the same way, Foster Perry bridges the spiritual and physical worlds, bringing us messages of healing, clarity, and upliftment. At an early age, he was recognized by those around him as having a natural gift for healing and sight. Then, after literally being struck by lightening, he was swept into a journey of initiation and rapid expansion of consciousness. <i>When Lightning Strikes a Hummingbird</i> is the story of his personal evolution. Foster has developed a healing style that is truly his own, which he calls “hummingbird medicine.” He sings to his clients' souls, sharing his passion for living to help them find their true Selves. As he says, “<i>When the personality surrenders to the soul, then we are uniquely connected to the Se</i><i>lf</i>, <i>which is God. We are here to make God conscious, to help god feel creation. We are creative stewards of a new Earth.</i>” An extraordinary healer, Foster is respected by thousands of clients worldwide.</p>"
Stage Lighting Design: A Practical Guide,Neil Fraser,"<p>In St<i>age Lighting Design,</i> a leading expert guides readers through experience to knowledge, inviting them to investigate every aspect of the roles of the stage electrician and the lighting designer. Among the topics covered are choosing and using equipment; working with color; techniques for focusing; planning, testing, and executing a lighting design; lighting in the round and other staging layouts; and lighting Shakespeare, Brecht, and many other production styles. Throughout, safety points are emphasized and clearly highlighted in the text.</p>"
Phantom Noise,Brian Turner,"<p>In the aftermath of best-selling <i>Here, Bullet</i>, Brian Turner deftly illuminates existence as both easily extinguishable and ultimately enduring. These prophetic, osmotic poems wage a daily battle for normalcy, seeking structure in the quotidian while grappling with the absence of forgetting.</p>"
Sonic The Hedgehog Select Volume 1 (sonic Select Series),Mike Gallagher,"<p>In this first book of SONIC SELECT we take the very best stories from the Sonic Super Specials. See Sally embark on a dangerous mission in ""The Quest"" while Tails proves himself for the first time in ""Tails' Tallest Tale."" Thrill to the early adventures of Sonic and Knuckles in ""Panic in the Sky"" and ""Lord of the Floating Island.""</p>"
David Charlesworth's Furniture-making Techniques: A Guide To Hand Tools And Methods,David Charlesworth,"<p>In this indispensable new guide to the basic principles of furniture making David Charlesworth reinforces his status as a dedicated commentator and teacher of the craft. This book is an ideal workshop accessory, with easy to follow instruction on the use of hand tools and how to build confidence and creativity with new, or maybe just rusty, techniques. Designed to encourage the complete beginner and challenge the student or keen amateur, all woodworkers will glean inspiration from the sound knowledge and advice within these pages. The book is suitable for all levels and abilities and includes tips &amp; techniques on how to get the best from hand tools.</p>"
India's Vegetarian Cooking: A Regional Guide,Monisha Bharadwaj,"<p>Indian cuisine is one of the most popular forms of cooking in the world today but, as Monisha Bharadwaj shows, the myriad regional varieties of healthy and inspiring recipes of India have yet to be discovered by many Western kitchens. Encompassing the entire range of vegetarian Indian cooking, from the finest Gujarati thalis or choiciest tandoori-cooked foods in the north, to the steaming hot idlis and chutneys of the South, via everything from chapatis to sweets, this is an inexhaustible and indispensable guide. Whether you want a snack, a quick lunch or a lavish meal this book will bring a sense of adventure to your diet and your kitchen.</p>"
Science on the Loose: Amazing Activities and Science Facts You'll Never Believe,"Helaine Becker', 'Claudia Davila","<p>Infused with Helaine Beckerâs trademark wit and irrepressible energy, <i>Science on the Loose</i> encourages young readers to release their inner scientist so that they can think, do, and learn in the most entertaining way possible. Whether itâs to test density in fruit, determine dominant genes, or make slimy goo, each experiment follows accepted scientific procedure, is easy to conduct, can be safely performed using ordinary household materials, and makes for a satisfying, surprising adventure in science. Each experiment features a 'Whatâs Going On?' component that explains the science behind the results in a clear and concise way, so even when an experiment just feels like silly fun, children are learning about chemistry, climate change, genes, the senses, photosynthesis, the scientific method - even Einsteinâs Theory of Relativity. From fooling our senses to discovering whether Jell-o can have brain waves to creating ice cream by kicking a can, <i>Science on the Loose</i> feeds into childrenâs natural curiosity about the world around them. A helpful listing outlines all the scientific principles covered in the book - an indispensable tool for teachers and a mark of a serious science book for parents. Claudia DÃ¡vilaâs amusing illustrations strike the perfect note.</p>"
Hildegard Of Bingen: A Saint For Our Times: Unleashing Her Power In The 21st Century,Matthew Fox,"<p>It has taken from the 12<sup>th</sup> century until now to declare Hildegard a Saint and Doctor of the Roman Catholic Church.</p>
<p>In the pages of this book, Hildegard's teachings - and warnings - live again. By pointing out the injustices of her time, we recognized them as the same injustices of our time - only magnified. She warns us of the consequences of the mistreatment and marginalizing of women, oppression of the poor and powerless, destruction of our environment, and the dangers of a patriarchal system run wild.</p>
<p>Demanding reform of society's institutions and social structures. Hildegard implores all of us to live in integrity with our espoused principles. She especially implores our leaders to wield their influence ""wisely.""</p>
<p>Hildegard also tells us how to bring light to the dark places in our lives, and thus our world. She urges us to ""be useful,"" to nurture nature, to speak up against injustice wherever we find it. But she also reminds us to sing, to dance, to be creative, and to celebrate life.</p>
<p>Matthew Fox wields his pen passionately, putting us in touch with the animating and reforming power of Hildegard as she urges us to ""wake up."" Dare we ignore her plea?</p>"
Cooking Rocks!: Rachael Ray 30-minute Meals For Kids,Rachael Ray,"<p>Kids rock! says Rachael, and it seems the feeling is mutual. Young people number among her biggest fans. For them she has created a fabulous collection of age-specific recipes with a high cool factor.</p>"
Creative Lampwork: Techniques And Projects For The Art Of Melting Glass,Joan Gordon,"<p>Learn how to create your own beautiful collection of jewellery or pieces to brighten up your home with the traditional - and increasingly popular - art of lampwork. This book includes everything you need to know about lampwork, from the history of the craft, to safety and materials, to various bead shapes and decorative techniques. The author, Joan Gordon, formerly Editor of Making Jewellery magazine, has gathered together 14 of the most accomplished glassmakers from around the world to guide you safely through each technique and project. With their expert advice, clearly laid out instructions, 26 stunning projects in total and a gallery of examples, you’ll have all the know-how and inspiration you need to get started, in this one book.</p>"
Adventures In The Northlands: Vertebrate Mountain Shorts,Tony Howard,"<p>'Lightning hit the cliff high above us, sending a dumper-load of rocks thrumming like jagged cannonballs out of the clouds to explode around us. Bill took a direct hit on his helmet, which was smashed. He hung limply and silently on the rope. His face, which was streaming with blood from a gash in his head, was a ghastly shade of white. For a horrible moment, we thought he was dead, but he came round slowly. We suggested bivouacking until he recovered but Bill, who always thrived in adversity, was having none of it. Having bandaged his head and reversed his helmet so that the hole in it wasn’t over the hole in his head, and at his insistence bunged a fag in his mouth to keep him happy, we continued into the storm up the last 300 metres of the snow covered cliff. We emerged triumphantly over the cornice into the blizzard and whiteout, another first ascent in the bag.'</p>
<p>Adventures in the Northlands is a collection of short stories written by British adventurer and mountaineer Tony Howard. From a life spent in the mountains and wilderness, Tony recalls epic tales of climbing, kayaking and adventure from Greenland, the Yukon and, his home-from-home, Norway. Journey with Tony into some of the most incredible wild places on earth.</p>
<p>Vertebrate Mountain Shorts are collections of mountaineering, climbing, adventure and wilderness writing, published as ebooks and intended to be read in one go. Written by some of the world's leading outdoor adventure authors, they include rare, previously out of print and exciting new works. Vertebrate Mountain Shorts will always be inspirational, direct and to the point. v-publishing.co.uk</p>
<p><br>
&nbsp;</p>"
Donald Duck Adventures,"Pat McGreal', 'Carol McGreal', 'Augusto Macchetto', 'Francesco Artibani', 'Mark Shaw","<p>Long adventure stories featuring Donald Duck, Mickey Mouse, Uncle Scrooge and the Beagle Boys. Fan favorites Pat and Carol McGreal answer a desperate Scrooge's question: Where's the Bin Been? Mickey Mouse encounters the Wind of the Azalai, then Scrooge takes a fantastic voyage Inside Donald Duck.</p>"
Mickey Mouse Adventures,Carol Mcgreal; John Blair Moore; Pat Mcgreal; Bruno Sarda,"<p>Long adventure stories starring Mickey Mouse, Donald Duck and Goofy. Pat and Carol McGreal's ""May the Farce Be With You!"" skewers Star Wars with a space-age trek for Mickey and Donald. In ""Healthy Choice,"" Donald battles with Uncle Scrooge to market a cure for colds. Then Mickey and Minnie take ""One Dangerous Vacation"" in a Far Eastern country.</p>"
Mickey Mouse Adventures,Carol Mcgreal; John Blair Moore; Pat Mcgreal; Bruno Sarda,"<p>Long adventure stories starring Mickey Mouse, Donald Duck and Goofy. Pat and Carol McGreal's ""May the Farce Be With You!"" skewers Star Wars with a space-age trek for Mickey and Donald. In ""Healthy Choice,"" Donald battles with Uncle Scrooge to market a cure for colds. Then Mickey and Minnie take ""One Dangerous Vacation"" in a Far Eastern country.</p>"
Mickey Mouse Adventures Volume 9,"Byron Erickson', 'Dave Rawson', 'Andreas Pihl","<p>Long adventure stories starring Mickey Mouse, Donald Duck and Pegleg Pete. Fan favorites Byron Erickson and Massimo Fecchi bring us ""Fatal Distraction,"" in which Mickey intervenes in a crime competition between Pegleg Pete and... Pegleg Pete?! In Dave Rawson's ""Soap Dope,"" Donald tries his hand at starring in soap operas, and in Andreas Pihl's ""Ticket to Bong,"" Pete struggles to reform while on an African treasure hunt.</p>"
Feeling Outnumbered? How To Manage And Enjoy Your Multi-dog Household.,"Karen B. London Ph.d.', 'Patricia B. Mcconnell Ph.d.","<p>Looking for some tips to create a little order out of the canine chaos in your home? Concerned that there might be some tension between two of the dogs in your pack? Not sure if all that growling during play means trouble or not? This booklet has the answers to those questions and many more. Written to help you maximize the joy of living in a multi-dog household, it emphasizes the use of ethology and positive reinforcement to teach your dogs to be polite and patient instead of demanding and pushy. Filled with practical ideas about keeping life fun in houses that have two dogs or many more, Feeling Outnumbered is a great resource for all multiple dog owners, whether novice or professional.</p>"
Relentless Forward Progress: A Guide to Running Ultramarathons,"Bryon Powell', 'Eric Grossman","<p>Marathons have become too easy for some runners. What was once the pinnacle of achievement in a runnerâs life is now a stepping stone for extraordinary adventure in ultramarathoning. The number of ultrarunners-those running distances of 50k (31miles), 50 miles, 100k (62 miles), or 100 miles-is growing astronomically each year.</p><p>Dean Karnazesâ Ultramarathon Man and Chris McDougallâs Born to Run have inspired tens of thousands to try these seemingly superhuman distances. But to date, there has been no practical guide to ultramarathoning. Now, Bryon Powell has written Relentless Forward Progress, the first how-to manual for aspiring ultrarunners. Powell covers every aspect of training for and racing ultra distances. This encyclopedic volume prepares runners for going farther than they have ever gone before and, in the process, shows them that they are capable of the 'impossible.'</p>"
The Complete Guide To Light,Mark Cleghorn,"<p>Master the light and you master the photograph—that's the key idea in this hands-on guide to understanding and using lighting. Internationally known photographer Mark Cleghorn uses jargon-free language to explain exactly how light works—and how it can be manipulated—in the photographer's medium. Cleghorn covers such subjects as using natural and ambient light, maximizing the benefits of an on-camera flash, and applying innovative Photoshop techniques. To make things even easier, he provides photos and graphics of various lighting setups that demonstrate how the placement of equipment alters the final result.</p>"
Thomas Jefferson's Monticello,"William L. Beiswanger', 'Susan R. Stein', 'Lucia Stanton', 'Peter J. Hatch","<p>Monticello, Thomas Jefferson's mountaintop home in Charlottesville, Virginia, has attracted public attention ever since Jefferson's own day, when sightseers regularly visited the grounds in the hope of catching a glimpse of the former president. In our own day, Monticello has been added to the United Nation' list of World Heritage Sites that must be protected at all costs, designating the house and grounds as an international treasure.</p><p><i>Thomas Jefferson's Monticello</i> is a collection of essays and color photography showcasing this extraordinary American home. Featuring essays written by scholars at Monticello, chapters focus on all aspects of the house and plantation. Monticello, a model of elegance and symmetry, was designed by Jefferson himself, whose architectural prowess prompted a visitor in 1782 to note: Mr. Jefferson is the first American who has consulted the Fine Arts to know how he should shelter himself from the weather. Inside, Jefferson assembled a world-class collection of objects and furnishings: art and porcelain from France, scientific instruments from England, the finest American furniture from Philadelphia and New York, natural artifacts brought back from the West, as well as furnishings made in Monticello's own joinery by enslaved craftsmen. Surrounding the house, Monticello's celebrated gardens and grounds form an experimental yet breathtakingly lovely landscape of flowers, fruits, and vegetables from the Old and New Worlds. A final chapter on the plantation and the enslaved community at Monticello provides a context in which to place and understand the house and its owner.</p><p>With an introductory essay by Wendell Garrett, this compilation is a comprehensive, long-awaited study of Thomas Jefferson's little mountain.</p><p> University of Virginia Press</p>"
My Home Is Far Away,"Powell, Dawn.","<p>My Home is Far Away is the most precisely autobiographical of Powell’s fifteen novels. In this family chronicle set in early twentieth century Ohio, young Marcia Willard’ s family struggles to keep up with the rapidly changing times, and Marcia endures disillusionment, cruelty, and betrayal to forge a survivor’s sense of independence. John Updike has compared Powell with Theodore Dreiser, Willa Cather, Sherwood Anderson, “and those other Midwestern writers who felt something epic in the national shift from rural to urban, from provincial sequestration to metropolitan liberation.” By 1941, when Powell set to work on My Home Is Far Away, she was better known for the smart, boozy, bawdy, hilarious send-ups of Manhattan high and low life. She had begun to attain a reputation for high sophistication and nothing could be less “sophisticated” – in the glittering, all-knowing, furiously present-tense, big-city manner Powell had perfected – than My Home Is Far Away.<br>
 This was the month of cherries and peaches, of green apples beyond the grape arbor, of little dandelion ghosts in the grass, of sour grass and four-leaf clovers, of still dry heat holding the smell of nasturtiums and dying lilacs. This was the best month of all and the best day. It was not birthday, Easter, Christmas, or picnic, but all these things and something else, something wonderful, something utterly unknown. The two little girls in embroidered white Sunday dresses knew no way to express their secret joy but by whirling each other dizzily over the lawn crying, “We’re moving, we’re moving! We’re moving to London Junction!”<br>
 My Home Is Far Away is one of the very few examples of a book written for adults, with an adult command of the language, that maintains the vantage point of a hungry, serious child throughout. It might be likened to a memoir that has been penned not with the usual tranquility of distance but rather with the sense that everything happening to the characters is happening right now, without any promise of eventual escape, without any assurance that childhood, too, shall pass away.<br>
 My Home is Far Away had been out of print for sixty years when Steerforth reissued it in 1995. It received immediate widespread acclaim, and was featured on the cover of the New York Times Book Review.</p>"
Photographing Weather,Storm Dunlop,"<p>Nearly everyone with a camera has photographed at some point in their lives a striking sunset, or tried to capture a beautiful rainbow, but there are many more subjects worth recording in nature. The ever-changing clouds, the colorful effects of our atmosphere: photographing weather presents a unique challenge. This unique guide by a specialist in the field shows you how to identify meteorological events, and capture them convincingly on camera. Starting with the basic techniques, it moves on for a complete understanding of the weather and the optical phenomena that arise from it. Learn to see the sky, utilize stereoscopic photography, capture the ever-elusive lightning flash, and much more. This easy-to-follow guide is sure to both please and inspire.</p>"
Whitewater Kayaking: The Ultimate Guide,"Ken Whiting', 'Kevin Varette","<p>Now in its second edition, Whitewater Kayaking has become the established, definitive guide on the sport. Drawing on the combined 30+ years of experience of world-renowned paddlers and instructors Ken Whiting and Kevin Varette, this comprehensive guide covers everything fromt he most basic skills and concepts to the most advanced, cutting-edge paddling techniques. Whatever you need, you'll find it in this essential whitewater kayaking reference.</p>"
Success With Organic Vegetables (success With Gardening),"Cuthbertson', 'Yvonne","<p>Organic gardening is all the rage, but successfully growing vegetables without pesticides and harsh chemical fertilizers requires care and knowledge. Budding organic farmers will love this illustrated guide, which is packed with tips for getting the most out of any garden. There’s a selection of garden plot designs, including constructing a lettuce ladder, an oriental vegetable plot, a French “potager” garden, and more. Collecting seeds, preparing the soil with compost and mulches, and dealing with pests the natural way are all covered. The complete A-Z directory of vegetables—which details where and how to grow them, the diseases to which each is susceptible, expected yields, and more—makes this a great reference.</p>"
"How To Write And Sell Simple Information For Fun And Profit: Your Guide To Writing And Publishing Books, E-books, Articles, Special Reports, Audio Programs, Dvds, And Other How-to Content",Robert W Bly,"<p>Packed with income-generating ideas about creating a variety of saleable written works, this guide includes information for researching and writing effective, instructional materials and calling upon a variety of publishing channels, including magazines, traditional book publishers, self-publishing, and the Internet. The mechanics behind becoming a successful writer and information packager are presented in this resource that explores how to write and sell simple information in multiple formats, allowing writers to turn specialized knowledge into money-making books and products.</p>"
Here Is New York,E. B. White,"<p>Perceptive, funny, and nostalgic, E.B. White's stroll around Manhattan remains the quintessential love letter to the city, written by one of America's foremost literary figures. <i>The New York Times</i> has named <i>Here is New York</i> one of the ten best books ever written about the metropolis, and <i>The New Yorker</i> calls it ""the wittiest essay, and one of the most perceptive, ever done on the city.</p>


                        <p>E.B. White's underground classic, and one of the most beautifully written, accurate portrayals of the world's most diverse and intersting city.
</p>"
