,id,origin,title,author,description,full_entry
1313,1313,Canadian,Crossroads,John O'Meara,"A married couple from Quebec, one a francophone, the other an anglophone, find themselves on the road, estranged and displaced from their work-environment in ...","Crossroads by John O'Meara: A married couple from Quebec, one a francophone, the other an anglophone, find themselves on the road, estranged and displaced from their work-environment in ..."
1314,1314,Canadian,Crow,Amy Spurway,"This Crow will ruffle a few feathers.When Stacey Fortune is diagnosed with three highly unpredictable — and inoperable — brain tumours, she abandons the ...","Crow by Amy Spurway: This Crow will ruffle a few feathers.When Stacey Fortune is diagnosed with three highly unpredictable — and inoperable — brain tumours, she abandons the ..."
1315,1315,Canadian,Crow Jazz,Linda Rogers,"A long awaited dazzling collection of short fiction from one of Canada's most accomplished poets.These incandescent stories in Crow Jazz come from tree level, ...","Crow Jazz by Linda Rogers: A long awaited dazzling collection of short fiction from one of Canada's most accomplished poets.These incandescent stories in Crow Jazz come from tree level, ..."
1316,1316,Canadian,Crown Shyness,Curtis Gillespie,"Paul Munk is a socially conscious idealist, leaning left in his political convictions. In Crown Shyness, his skills as a writer for a current affairs magazine ...","Crown Shyness by Curtis Gillespie: Paul Munk is a socially conscious idealist, leaning left in his political convictions. In Crown Shyness, his skills as a writer for a current affairs magazine ..."
1317,1317,Canadian,Crow's Landing,Brad Smith,"Jack-of-all-trades Virgil Cain gets tangled up in an old crime surfacing from the waters of the Hudson River, in this second novel in a rip-roaring series that ...","Crow's Landing by Brad Smith: Jack-of-all-trades Virgil Cain gets tangled up in an old crime surfacing from the waters of the Hudson River, in this second novel in a rip-roaring series that ..."
1318,1318,Canadian,Crow Winter,Karen McBride,Nanabush. A name that has a certain weight on the tongue—a taste. Like lit sage in a windowless room or aluminum foil on a metal filling.Trickster. ...,Crow Winter by Karen McBride: Nanabush. A name that has a certain weight on the tongue—a taste. Like lit sage in a windowless room or aluminum foil on a metal filling.Trickster. ...
1319,1319,Canadian,"Crumbling of Arty Wall, The",Nic Labriola,"Arty Wall is crumbling. Like a city on the verge of collapse, his life has become a fragmented and chaotic mess, destined for ruin. He can barely hang onto his ...","Crumbling of Arty Wall, The by Nic Labriola: Arty Wall is crumbling. Like a city on the verge of collapse, his life has become a fragmented and chaotic mess, destined for ruin. He can barely hang onto his ..."
1320,1320,Canadian,Crying for the Moon,Mary Walsh,"“A page-turner with an indelible heroine.” —Ann-Marie MacDonald Canadian actor, comedian and social activist Mary Walsh explodes onto the literary scene ...","Crying for the Moon by Mary Walsh: “A page-turner with an indelible heroine.” —Ann-Marie MacDonald Canadian actor, comedian and social activist Mary Walsh explodes onto the literary scene ..."
1321,1321,Canadian,Cube Squared,Christian McPherson,"Cube Squared is the much anticipated follow-up novel from Christian McPherson, picking up where his darkly comic debut, The Cube People, left off. Returning to ...","Cube Squared by Christian McPherson: Cube Squared is the much anticipated follow-up novel from Christian McPherson, picking up where his darkly comic debut, The Cube People, left off. Returning to ..."
1322,1322,Canadian,"Cuffer Anthology, The",Pam Frampton,"Without readers and writers, newspapers could not survive. Recently, The Telegram and Creative Book Publishing embarked on a special project meant to inspire ...","Cuffer Anthology, The by Pam Frampton: Without readers and writers, newspapers could not survive. Recently, The Telegram and Creative Book Publishing embarked on a special project meant to inspire ..."
1323,1323,Canadian,"Cuffer Anthology Vol III, The",Pam Frampton,"Now in its fourth year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing. It showcases the best short fiction from Newfoundland and ...","Cuffer Anthology Vol III, The by Pam Frampton: Now in its fourth year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing. It showcases the best short fiction from Newfoundland and ..."
1324,1324,Canadian,Cuffer Anthology Volume II,Pam Frampton,"Now in its third year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing. It showcases the best short fiction from Newfoundland and ...","Cuffer Anthology Volume II by Pam Frampton: Now in its third year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing. It showcases the best short fiction from Newfoundland and ..."
1325,1325,Canadian,"Cuffer Anthology Volume IV, The",Pam Framptom,"Now in its fifth year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing. It showcases short fiction from Newfoundland and Labrador ...","Cuffer Anthology Volume IV, The by Pam Framptom: Now in its fifth year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing. It showcases short fiction from Newfoundland and Labrador ..."
1326,1326,Canadian,Cuffer Anthology volume V,Pam Frampton,"Now in its sixth year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing in St. John's. It showcases some of the best short fiction ...","Cuffer Anthology volume V by Pam Frampton: Now in its sixth year, the Cuffer Prize is sponsored by The Telegram and Creative Book Publishing in St. John's. It showcases some of the best short fiction ..."
1327,1327,Canadian,Cupids,Paul Butler,"In the fall of 1611, John Guy prepares to return from his colony in ?xml:namespace prefix=&quot;st1&quot; ns=&quot;urn:schemas-microsoft-com:office:smarttags&quot; /&gt;Cupers Cove, ...","Cupids by Paul Butler: In the fall of 1611, John Guy prepares to return from his colony in ?xml:namespace prefix=&quot;st1&quot; ns=&quot;urn:schemas-microsoft-com:office:smarttags&quot; /&gt;Cupers Cove, ..."
1328,1328,Canadian,Cure For Pain,NM Facile,"Ty Jaden isn't what society needs. At twenty-six, he's a charismatic and intense heroin dealer turned user who landed himself in jail. Now he's out, clean and ...","Cure For Pain by NM Facile: Ty Jaden isn't what society needs. At twenty-six, he's a charismatic and intense heroin dealer turned user who landed himself in jail. Now he's out, clean and ..."
1329,1329,Canadian,Curiosity,Joan Thomas,"Award-winning novelist Joan Thomas blends fact and fiction, passion and science in this stunning novel set in 19th-century Lyme Regis, England — the seaside ...","Curiosity by Joan Thomas: Award-winning novelist Joan Thomas blends fact and fiction, passion and science in this stunning novel set in 19th-century Lyme Regis, England — the seaside ..."
1330,1330,Canadian,Curry is Thicker than Water,Jasmine Anita Yvette D’Costa,"A cobra flies in through an open window. Wives form a pact against their bigamous, abusive husband. A mother and son battle over eagles? eggs. A homeless guest ...","Curry is Thicker than Water by Jasmine Anita Yvette D’Costa: A cobra flies in through an open window. Wives form a pact against their bigamous, abusive husband. A mother and son battle over eagles? eggs. A homeless guest ..."
1331,1331,Canadian,Cursed! Blood of the Donnellys,Keith Ross Leckie,"In the midst of the feuds and famine of Tipperary, Ireland in 1846, Jim Donnelly and Johannah McGee fall passionately in love. She is the beautiful daughter of ...","Cursed! Blood of the Donnellys by Keith Ross Leckie: In the midst of the feuds and famine of Tipperary, Ireland in 1846, Jim Donnelly and Johannah McGee fall passionately in love. She is the beautiful daughter of ..."
1332,1332,Canadian,Curtains for Roy,Aaron Bushkowsky,"Alex is a playwright suffering from writer’s block and harsh reviews. His best friend, Roy, is a theatre director with lung cancer and six months left to ...","Curtains for Roy by Aaron Bushkowsky: Alex is a playwright suffering from writer’s block and harsh reviews. His best friend, Roy, is a theatre director with lung cancer and six months left to ..."
1333,1333,Canadian,Cuts Through Bone,Alaric Hunt,"Featured in The New York Times Magazine!Winner of the PWA Best First Private Eye Novel CompetitionAt first, Rachel Vasquez found her new job working for ...","Cuts Through Bone by Alaric Hunt: Featured in The New York Times Magazine!Winner of the PWA Best First Private Eye Novel CompetitionAt first, Rachel Vasquez found her new job working for ..."
1334,1334,Canadian,Cut to the Bone,Joan Boswell,Murders and disappearances in one building … but are they connected? Hollis Grant has fashioned a new life for herself with a foster child and a job as ...,Cut to the Bone by Joan Boswell: Murders and disappearances in one building … but are they connected? Hollis Grant has fashioned a new life for herself with a foster child and a job as ...
1335,1335,Canadian,Cut to the Chase,Joan Boswell,"Danson Lafleur’s been on a crusade to investigate deported criminals who return undetected to Canada, and now he’s missing. Can he be the unidentified man ...","Cut to the Chase by Joan Boswell: Danson Lafleur’s been on a crusade to investigate deported criminals who return undetected to Canada, and now he’s missing. Can he be the unidentified man ..."
1336,1336,Canadian,Cut to the Quick,Joan Boswell,"In the sequel to Cut Off his Tale, Hollis Grant is back, but this time shes in Toronto, hoping for a quiet summer of study. Hollis is a painter, and she hopes ...","Cut to the Quick by Joan Boswell: In the sequel to Cut Off his Tale, Hollis Grant is back, but this time shes in Toronto, hoping for a quiet summer of study. Hollis is a painter, and she hopes ..."
1337,1337,Canadian,Cut You Down,Sam Wiebe,"Cut You Down is prize-winning novelist Sam Wiebe's second riveting Wakeland mystery.Vancouver PI Dave Wakeland returns, hot on the trail of a missing college ...","Cut You Down by Sam Wiebe: Cut You Down is prize-winning novelist Sam Wiebe's second riveting Wakeland mystery.Vancouver PI Dave Wakeland returns, hot on the trail of a missing college ..."
1338,1338,Canadian,Cyberstorm,Matthew Mather,"Mike Mitchell is an average New Yorker living in an apartment in Chelsea, struggling to keep his family together. When the Internet goes down, he suddenly ...","Cyberstorm by Matthew Mather: Mike Mitchell is an average New Yorker living in an apartment in Chelsea, struggling to keep his family together. When the Internet goes down, he suddenly ..."
1339,1339,Canadian,Czech Techno & Other Stories of Music,Mark Jarman,From the author of 19 Knives and My White Planet comes a brilliant suite of stories built around music and travel. Whether it's a band coming apart at the ...,Czech Techno & Other Stories of Music by Mark Jarman: From the author of 19 Knives and My White Planet comes a brilliant suite of stories built around music and travel. Whether it's a band coming apart at the ...
1340,1340,Canadian,Daaku,Ranj Dhaliwal,"In the violent and ruthless world of Indo-Canadian gangs, Ruby Pandher is on his way up. A self-described daaku (Punjabi for outlaw), Ruby learns young that ...","Daaku by Ranj Dhaliwal: In the violent and ruthless world of Indo-Canadian gangs, Ruby Pandher is on his way up. A self-described daaku (Punjabi for outlaw), Ruby learns young that ..."
1341,1341,Canadian,Daaku: The Gangster's Life,Ranj Dhaliwal,nan,Daaku: The Gangster's Life by Ranj Dhaliwal: nan
1342,1342,Canadian,Daddy Lenin and Other Stories,Guy Vanderhaeghe,Bestselling author Guy Vanderhaeghe’s new book of fiction is both timely and timeless and showcases his supreme talent as a storyteller and poignant ...,Daddy Lenin and Other Stories by Guy Vanderhaeghe: Bestselling author Guy Vanderhaeghe’s new book of fiction is both timely and timeless and showcases his supreme talent as a storyteller and poignant ...
1343,1343,Canadian,Daddy Lessons,Carolyne Aarsen,Her high school sweetheart is the last person teacher Hailey Deacon expects to encounter back home in Hartley Creek. Since Dan Morrow closed the door on their ...,Daddy Lessons by Carolyne Aarsen: Her high school sweetheart is the last person teacher Hailey Deacon expects to encounter back home in Hartley Creek. Since Dan Morrow closed the door on their ...
1344,1344,Canadian,"Daddy, Unexpectedly",Lee McKenzie,"From Friends to Lovers to?Parents?Claire DeAngelo's fantasy was the white picket fence and a husband and babies. She thought she'd found it, but now she's ...","Daddy, Unexpectedly by Lee McKenzie: From Friends to Lovers to?Parents?Claire DeAngelo's fantasy was the white picket fence and a husband and babies. She thought she'd found it, but now she's ..."
1345,1345,Canadian,Dadolescence,Bob Armstrong,Bill and Julie live in thrifty middle-class wedded bliss with their 12-year-old son Sean. Julie brings home the bacon while Bill keeps house and frets over his ...,Dadolescence by Bob Armstrong: Bill and Julie live in thrifty middle-class wedded bliss with their 12-year-old son Sean. Julie brings home the bacon while Bill keeps house and frets over his ...
1346,1346,Canadian,Dagmar's Daughter,Kim Echlin,"Mystical, seductive, and brimming with music and magic, Dagmar's Daughter follows three generations of passionate women. Norea emerges from the destitute Irish ...","Dagmar's Daughter by Kim Echlin: Mystical, seductive, and brimming with music and magic, Dagmar's Daughter follows three generations of passionate women. Norea emerges from the destitute Irish ..."
1347,1347,Canadian,Dahanu Road,Anosh Irani,"“The only statement of revolt the poor could make was to put an end to their own misery. It happened all the time—men lay themselves on train tracks, ...","Dahanu Road by Anosh Irani: “The only statement of revolt the poor could make was to put an end to their own misery. It happened all the time—men lay themselves on train tracks, ..."
1348,1348,Canadian,Daisy in Chains,Sharon Bolton,"Just what is it that attracts some women to the most evil of men? The seductive, twisty, exhilarating new thriller from Sharon Bolton. He loves her. He loves ...","Daisy in Chains by Sharon Bolton: Just what is it that attracts some women to the most evil of men? The seductive, twisty, exhilarating new thriller from Sharon Bolton. He loves her. He loves ..."
1349,1349,Canadian,Dakghar,Ashis Gupta,nan,Dakghar by Ashis Gupta: nan
1350,1350,Canadian,Dakota Child,Linda Ford,"Trapped in a North Dakota blizzard, single mother Vivian Halliday's prayer for herself and her child is answered. Rescue comes in the seemingly terrifying form ...","Dakota Child by Linda Ford: Trapped in a North Dakota blizzard, single mother Vivian Halliday's prayer for herself and her child is answered. Rescue comes in the seemingly terrifying form ..."
1351,1351,Canadian,Dakota Child & Dakota Father,Linda Ford,"Enjoy two stories of strength and hope in days gone by from Love Inspired HistoricalDakota ChildTrapped in a North Dakota blizzard, single mother Vivian ...","Dakota Child & Dakota Father by Linda Ford: Enjoy two stories of strength and hope in days gone by from Love Inspired HistoricalDakota ChildTrapped in a North Dakota blizzard, single mother Vivian ..."
1352,1352,Canadian,Dakota Cowboy,Linda Ford,"Surely the handsome cowboy can't be serious. Lucy Hall's father wants to see her? Now? After years of being brushed aside, Lucy's in no hurry to rush to the ...","Dakota Cowboy by Linda Ford: Surely the handsome cowboy can't be serious. Lucy Hall's father wants to see her? Now? After years of being brushed aside, Lucy's in no hurry to rush to the ..."
1353,1353,Canadian,Dakota Cowboy & Mail Order Cowboy,Linda Ford,"Trusting their hearts…Dakota Cowboy by Linda FordAfter years of rejection, Lucy Hall is in no hurry to rush to her father’s deathbed. Handsome cowboy Wade ...","Dakota Cowboy & Mail Order Cowboy by Linda Ford: Trusting their hearts…Dakota Cowboy by Linda FordAfter years of rejection, Lucy Hall is in no hurry to rush to her father’s deathbed. Handsome cowboy Wade ..."
1354,1354,Canadian,Dakota Father,Linda Ford,"It broke Jenny Archibald's heart to lose her best friend, Lena, to a fever?Jenny's not about to let any harm come to two-year-old Meggie, Lena's orphaned ...","Dakota Father by Linda Ford: It broke Jenny Archibald's heart to lose her best friend, Lena, to a fever?Jenny's not about to let any harm come to two-year-old Meggie, Lena's orphaned ..."
1355,1355,Canadian,Dakota Marshal,Jenna Ryan,"He brought danger to her doorstep?Shot and bleeding, cowboy cop turned U.S. Marshal Gabriel McBride had nowhere to go, no one else he trusted except the very ...","Dakota Marshal by Jenna Ryan: He brought danger to her doorstep?Shot and bleeding, cowboy cop turned U.S. Marshal Gabriel McBride had nowhere to go, no one else he trusted except the very ..."
1356,1356,Canadian,Damaged,Pamela Callow,"Haunted by the death of her sister and wounded by her ex-fiancé's accusations, Kate Lange throws herself into her new career at a high-powered law firm.When ...","Damaged by Pamela Callow: Haunted by the death of her sister and wounded by her ex-fiancé's accusations, Kate Lange throws herself into her new career at a high-powered law firm.When ..."
1357,1357,Canadian,Damage Done by the Storm,Jack Hodgins,Jack Hodgins’s acclaimed short story collection immerses us into the lives of characters at once larger than life and intimately familiar. In the title ...,Damage Done by the Storm by Jack Hodgins: Jack Hodgins’s acclaimed short story collection immerses us into the lives of characters at once larger than life and intimately familiar. In the title ...
1358,1358,Canadian,Damages,Keath Fraser,"A literary titan of Canadian short fiction, Keath Fraser’s influence has been felt long and wide since the publication of his first collection Taking Cover ...","Damages by Keath Fraser: A literary titan of Canadian short fiction, Keath Fraser’s influence has been felt long and wide since the publication of his first collection Taking Cover ..."
1359,1359,Canadian,"Damned and The Destroyed, The",Kenneth Orvis,"'God help us, Dent - the thing is, my daughter has become a dope fiend.'Maxwell Dent studied law at McGill and served in the RCAF and Intelligence M-5 during ...","Damned and The Destroyed, The by Kenneth Orvis: 'God help us, Dent - the thing is, my daughter has become a dope fiend.'Maxwell Dent studied law at McGill and served in the RCAF and Intelligence M-5 during ..."
1360,1360,Canadian,"Dance, Gladys, Dance",Cassie Stocks,27-year-old Frieda Zweig is at an impasse. Behind her is a string of failed relationships and half-forgotten ambitions of being a painter; in front of her lies ...,"Dance, Gladys, Dance by Cassie Stocks: 27-year-old Frieda Zweig is at an impasse. Behind her is a string of failed relationships and half-forgotten ambitions of being a painter; in front of her lies ..."
1361,1361,Canadian,Dance Moves of the Near Future,Tim Conley,"Tim Conley's prose whipsaws between carefully observed realism and fantastic absurdity to create surreal, compact worlds. Whether they're sketching the ...","Dance Moves of the Near Future by Tim Conley: Tim Conley's prose whipsaws between carefully observed realism and fantastic absurdity to create surreal, compact worlds. Whether they're sketching the ..."
1362,1362,Canadian,Dancer's Lament,Ian C. Esslemont,"Book 1 in the Dancer's Lament - Path to Ascendancy trilogy.&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;&nbsp; &nbsp; For ages warfare has crippled the continent as minor city states, baronies, and ...","Dancer's Lament by Ian C. Esslemont: Book 1 in the Dancer's Lament - Path to Ascendancy trilogy.&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;&nbsp; &nbsp; For ages warfare has crippled the continent as minor city states, baronies, and ..."
1363,1363,Canadian,Dance With Snakes,Horacio Castellanos Moya,"As El Salvador returns to peace after more than a decade of civil war, Eduardo Sosa, an unemployed sociologist, becomes fascinated by a homeless man who lives ...","Dance With Snakes by Horacio Castellanos Moya: As El Salvador returns to peace after more than a decade of civil war, Eduardo Sosa, an unemployed sociologist, becomes fascinated by a homeless man who lives ..."
1364,1364,Canadian,Dancing In a Jar,Poynter Adele,"Based on a true story, Dancing in a Jar elaborates on the real-life love affair of a young couple who leave New York City to live in the outport community of ...","Dancing In a Jar by Poynter Adele: Based on a true story, Dancing in a Jar elaborates on the real-life love affair of a young couple who leave New York City to live in the outport community of ..."
1365,1365,Canadian,Dancing Lessons,Olive Senior,"When her house in the Jamaican countryside is damaged by a hurricane, Gertrude Samphire is sent by her estranged daughter Celia to Ellesmere Lodge, an assisted ...","Dancing Lessons by Olive Senior: When her house in the Jamaican countryside is damaged by a hurricane, Gertrude Samphire is sent by her estranged daughter Celia to Ellesmere Lodge, an assisted ..."
1366,1366,Canadian,Dancing Nightly in the Tavern,Mark Anthony Jarman,"Dancing Nightly in the Tavern, Mark Anthony Jarman's impressive debut collection of nine short stories, presents characters assembled from the depths of the ...","Dancing Nightly in the Tavern by Mark Anthony Jarman: Dancing Nightly in the Tavern, Mark Anthony Jarman's impressive debut collection of nine short stories, presents characters assembled from the depths of the ..."
1367,1367,Canadian,Dancing with Fire,Denene Derksen,"Join Carrie and Anne, two unrelated women on separate yet mysteriously connected journeys. Anne just wants to be left alone to suffer, while Carrie seeks ...","Dancing with Fire by Denene Derksen: Join Carrie and Anne, two unrelated women on separate yet mysteriously connected journeys. Anne just wants to be left alone to suffer, while Carrie seeks ..."
1368,1368,Canadian,Dangerously Attractive,Jenna Ryan,"A serial killer is targeting Detective Vanessa Connor's oldest friends, and evidence?the sicko left his calling card in her home'shows she's the next victim. ...","Dangerously Attractive by Jenna Ryan: A serial killer is targeting Detective Vanessa Connor's oldest friends, and evidence?the sicko left his calling card in her home'shows she's the next victim. ..."
1369,1369,Canadian,Dangerous Waters,Toni Anderson,"2013 Daphne du Maurier Award FinalistKnown as the Graveyard of the Pacific, Barkley Sound is notorious for surging swells with the power to pull helpless ...","Dangerous Waters by Toni Anderson: 2013 Daphne du Maurier Award FinalistKnown as the Graveyard of the Pacific, Barkley Sound is notorious for surging swells with the power to pull helpless ..."
1370,1370,Canadian,Daniel O'Thunder,Ian Weir,"An Amazon top 100 book of 2009!A rollicking, comic and ultimately haunting tale of fist-fighting, faith and fine madnessIn the 1850s, in the slums of the great ...","Daniel O'Thunder by Ian Weir: An Amazon top 100 book of 2009!A rollicking, comic and ultimately haunting tale of fist-fighting, faith and fine madnessIn the 1850s, in the slums of the great ..."
1371,1371,Canadian,Danse Macabre,Nancy Kilpatrick,"This anthology could be the most unusual and original collection of stories you'll ever read! Twenty-six literary reflections embody the themed, classical ...","Danse Macabre by Nancy Kilpatrick: This anthology could be the most unusual and original collection of stories you'll ever read! Twenty-six literary reflections embody the themed, classical ..."
1372,1372,Canadian,Darcy and Anne,Judith Brocklehurst,It is a truth universally acknowledged that Lady Catherine will never find a husband for Anne?When a fortuitous accident draws Anne away from Rosings and her ...,Darcy and Anne by Judith Brocklehurst: It is a truth universally acknowledged that Lady Catherine will never find a husband for Anne?When a fortuitous accident draws Anne away from Rosings and her ...
1373,1373,Canadian,Dark Diversions,John Ralston Saul,"With savage wit, John Ralston Saul creates a world where intrigue, prestige and debauchery span continents and social milieux In Dark Diversions acclaimed ...","Dark Diversions by John Ralston Saul: With savage wit, John Ralston Saul creates a world where intrigue, prestige and debauchery span continents and social milieux In Dark Diversions acclaimed ..."
1374,1374,Canadian,Dark Diversions (us Edition),John Ralston Saul,"In Dark Diversions, acclaimed author John Ralston Saul stages a black comedy of international proportions that takes the reader from New York to Paris to ...","Dark Diversions (us Edition) by John Ralston Saul: In Dark Diversions, acclaimed author John Ralston Saul stages a black comedy of international proportions that takes the reader from New York to Paris to ..."
1375,1375,Canadian,"Dark Divide, The",D.K. Stone,"Waterton is a town with dark secrets, and after a summer of murder and mayhem, American ex-pat, Rich Evans, knows exactly how far people will go to hide them. ...","Dark Divide, The by D.K. Stone: Waterton is a town with dark secrets, and after a summer of murder and mayhem, American ex-pat, Rich Evans, knows exactly how far people will go to hide them. ..."
1376,1376,Canadian,"Darkening Archipelago, The",Stephen Legault,"Eight months after his own brush with death over Alberta's Cardinal Divide, Cole Blackwater has learned that his good friend and former client Archie Ravenwing ...","Darkening Archipelago, The by Stephen Legault: Eight months after his own brush with death over Alberta's Cardinal Divide, Cole Blackwater has learned that his good friend and former client Archie Ravenwing ..."
1377,1377,Canadian,Dark Enough to Dance,Colin Hayward,"In the Prairie Fire review of Other Times Other Places (Scrivener 2006), the reviewer asked for &quot;More from this author, please.&quot; So here are four more travel ...","Dark Enough to Dance by Colin Hayward: In the Prairie Fire review of Other Times Other Places (Scrivener 2006), the reviewer asked for &quot;More from this author, please.&quot; So here are four more travel ..."
1378,1378,Canadian,Darkest Desire of the Vampire,Rhyannon Byrd,"Summer just got hotter?Wicked in Moonlight by Rhyannon ByrdWhen Lainey Maxwell is attacked by werewolves while on vacation, vampire Nick Santos?a hard-edged, ...","Darkest Desire of the Vampire by Rhyannon Byrd: Summer just got hotter?Wicked in Moonlight by Rhyannon ByrdWhen Lainey Maxwell is attacked by werewolves while on vacation, vampire Nick Santos?a hard-edged, ..."
1379,1379,Canadian,Darkest Light,Hiromi Goto,"The breathtaking follow-up to the award-winning Half World  Adopted as an infant, Gee has been kept ignorant of his troubled past. Now, at sixteen, he is a ...","Darkest Light by Hiromi Goto: The breathtaking follow-up to the award-winning Half World  Adopted as an infant, Gee has been kept ignorant of his troubled past. Now, at sixteen, he is a ..."
1380,1380,Canadian,Dark Lies,Vivi Anna,"What dark secret was she hiding?When the Otherworld Crime Unit reconvenes to investigate a ritualistic murder, werewolf Jace Jericho can barely set aside his ...","Dark Lies by Vivi Anna: What dark secret was she hiding?When the Otherworld Crime Unit reconvenes to investigate a ritualistic murder, werewolf Jace Jericho can barely set aside his ..."
1381,1381,Canadian,Dark Matter,R. D.  Cain,"After being recently cleared of murder charges, the disgraced and out-of-work police detective Steve Nastos reluctantly teams with his brash and similarly ...","Dark Matter by R. D.  Cain: After being recently cleared of murder charges, the disgraced and out-of-work police detective Steve Nastos reluctantly teams with his brash and similarly ..."
1382,1382,Canadian,Dark Moon Walking,R.J. McMillen,"It’s been more than eight years since ex-cop Dan Connor put a troubled criminal named Walker behind bars, and a year since he handed in his badge after ...","Dark Moon Walking by R.J. McMillen: It’s been more than eight years since ex-cop Dan Connor put a troubled criminal named Walker behind bars, and a year since he handed in his badge after ..."
1383,1383,Canadian,Darkness At The Stroke Of Noon,Dennis Murphy,Listen to the exclusive radio drama Darkness at the Stroke of NoonRCMP Sergeant Booker Kennison knows more dirt than an officer should and has been exiled by ...,Darkness At The Stroke Of Noon by Dennis Murphy: Listen to the exclusive radio drama Darkness at the Stroke of NoonRCMP Sergeant Booker Kennison knows more dirt than an officer should and has been exiled by ...
1384,1384,Canadian,Dark Resurrection,Ron Chudley,"Elizabeth and Tom Drummond are living quietly in Mill Bay, B.C., when their tranquil existence is disrupted by a singular event: out of the ashes of 9/11, ...","Dark Resurrection by Ron Chudley: Elizabeth and Tom Drummond are living quietly in Mill Bay, B.C., when their tranquil existence is disrupted by a singular event: out of the ashes of 9/11, ..."
1385,1385,Canadian,Dark Seed,Lawrence Verigin,A disillusioned journalist and the grieving daughter of a murdered scientist uncover an immoral and destructive global plot by the largest developer of ...,Dark Seed by Lawrence Verigin: A disillusioned journalist and the grieving daughter of a murdered scientist uncover an immoral and destructive global plot by the largest developer of ...
1386,1386,Canadian,Dark Territory,Susan Philpott,In Dark Territory—the second book in Susan Philpott’s debut series—Signy Shepherd embarks on her newest assignment for the Line: a rescue mission to save ...,Dark Territory by Susan Philpott: In Dark Territory—the second book in Susan Philpott’s debut series—Signy Shepherd embarks on her newest assignment for the Line: a rescue mission to save ...
1387,1387,Canadian,Dark Waters,Toni Anderson,"National Readers' Choice Awards finalist in Romantic Suspense&nbsp;Danger once again laps at the shores of Barkley Sound, the Graveyard of the Pacific….&nbsp;It may be ...","Dark Waters by Toni Anderson: National Readers' Choice Awards finalist in Romantic Suspense&nbsp;Danger once again laps at the shores of Barkley Sound, the Graveyard of the Pacific….&nbsp;It may be ..."
1388,1388,Canadian,Darkwood Manor,Jenna Ryan,"An estate haunted by over a hundred years of tragedy?and Donovan Black stood at the heart of it. Like Darkwood Manor, Donovan was an utter mystery. An FBI ...","Darkwood Manor by Jenna Ryan: An estate haunted by over a hundred years of tragedy?and Donovan Black stood at the heart of it. Like Darkwood Manor, Donovan was an utter mystery. An FBI ..."
1389,1389,Canadian,"Darling of Kandahar, The",Felicia Mihali,A young woman poses for the cover of a magazine. A Canadian soldier serving in Kandahar falls in love with her photograph and sends her an email. The Darling ...,"Darling of Kandahar, The by Felicia Mihali: A young woman poses for the cover of a magazine. A Canadian soldier serving in Kandahar falls in love with her photograph and sends her an email. The Darling ..."
1390,1390,Canadian,Darren Effect,Libby Creelman,An affair. A marriage. Accidental encounters. A secret spying mission masquerading as research for a short story on desire. This is the rich ground from which ...,Darren Effect by Libby Creelman: An affair. A marriage. Accidental encounters. A secret spying mission masquerading as research for a short story on desire. This is the rich ground from which ...
1391,1391,Canadian,Darwinia,Robert Charles Wilson,"In 1912, history was changed by the Miracle, when the old world of Europe was replaced by Darwinia, a strange land of nightmarish jungle and antediluvian ...","Darwinia by Robert Charles Wilson: In 1912, history was changed by the Miracle, when the old world of Europe was replaced by Darwinia, a strange land of nightmarish jungle and antediluvian ..."
1392,1392,Canadian,Darwin's Bastards,Zsuzsi Gartner,"Social satire, fabulist tales and darkly humorous dystopian visions by some of&nbsp;Canada's most adventurous and distinguished writers.&nbsp;The 23 stories in Darwin's ...","Darwin's Bastards by Zsuzsi Gartner: Social satire, fabulist tales and darkly humorous dystopian visions by some of&nbsp;Canada's most adventurous and distinguished writers.&nbsp;The 23 stories in Darwin's ..."
1393,1393,Canadian,Darwin’s Nightmare,Mike Knowles,&nbsp;Wilson spent his entire life under the radar. Few people knew who he was and even less knew how to find him. Only two people even knew what he really did. He ...,Darwin’s Nightmare by Mike Knowles: &nbsp;Wilson spent his entire life under the radar. Few people knew who he was and even less knew how to find him. Only two people even knew what he really did. He ...
1394,1394,Canadian,Date with a Sheesha,Anthony Bidulka,"“You are invited to the death of Nayan Gupta….”When a mysterious card arrives in the mail, RussellQuant has a date with murder. From the glitzy high ...","Date with a Sheesha by Anthony Bidulka: “You are invited to the death of Nayan Gupta….”When a mysterious card arrives in the mail, RussellQuant has a date with murder. From the glitzy high ..."
1395,1395,Canadian,Dating,Dave Williamson,Jenkins never dreamed he’d live long enough to be dating again. Old folks acting like teenagers was unheard of in his parents’ generation. Less than two ...,Dating by Dave Williamson: Jenkins never dreamed he’d live long enough to be dating again. Old folks acting like teenagers was unheard of in his parents’ generation. Less than two ...
